"",BBK01.OEXK01T,BBK01.OEXK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:01,
2002-01,0.152,
2002-04,0.151,
2002-07,0.152,
2002-10,0.155,
2003-01,0.149,
2003-04,0.150,
2003-07,0.155,
2003-10,0.161,
2004-01,0.164,
2004-04,0.174,
2004-07,0.175,
2004-10,0.157,
2005-01,0.155,
2005-04,0.156,
2005-07,0.126,
2005-10,0.132,
2006-01,0.124,
2006-04,0.129,
2006-07,0.137,
2006-10,0.148,
2007-01,0.147,
2007-04,0.144,
2007-07,0.146,
2007-10,0.163,
2008-01,0.150,
2008-04,0.150,
2008-07,0.175,
2008-10,0.182,
2009-01,0.168,
2009-04,0.174,
2009-07,0.157,
2009-10,0.170,
2010-01,0.160,
2010-04,0.220,
2010-07,0.254,
2010-10,0.287,
2011-01,0.265,
2011-04,0.270,
2011-07,0.285,
2011-10,0.299,
2012-01,0.304,
2012-04,0.313,
2012-07,0.336,
2012-10,0.344,
2013-01,0.357,
2013-04,0.358,
2013-07,0.357,
2013-10,0.421,
2014-01,0.375,
2014-04,0.362,
2014-07,0.367,
