"",BBFB1.Q.N.DE.CA.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:42,
1991-01,49.963,
1991-04,54.354,
1991-07,53.524,
1991-10,52.241,
1992-01,58.445,
1992-04,57.738,
1992-07,58.325,
1992-10,64.468,
1993-01,64.962,
1993-04,60.638,
1993-07,62.515,
1993-10,63.383,
1994-01,67.113,
1994-04,67.146,
1994-07,68.712,
1994-10,68.968,
1995-01,72.864,
1995-04,73.471,
1995-07,74.478,
1995-10,73.959,
1996-01,72.631,
1996-04,70.542,
1996-07,74.837,
1996-10,77.060,
1997-01,72.163,
1997-04,78.479,
1997-07,81.214,
1997-10,85.763,
1998-01,73.022,
1998-04,75.603,
1998-07,83.750,
1998-10,77.173,
1999-01,81.279,
1999-04,75.082,
1999-07,73.409,
1999-10,99.671,
2000-01,73.188,
2000-04,74.304,
2000-07,72.304,
2000-10,83.044,
2001-01,66.972,
2001-04,75.302,
2001-07,79.314,
2001-10,72.837,
2002-01,71.702,
2002-04,73.744,
2002-07,72.531,
2002-10,94.770,
2003-01,68.055,
2003-04,73.546,
2003-07,76.849,
2003-10,104.816,
2004-01,74.106,
2004-04,78.431,
2004-07,98.778,
2004-10,94.592,
2005-01,75.863,
2005-04,77.846,
2005-07,73.749,
2005-10,77.067,
2006-01,78.523,
2006-04,85.065,
2006-07,73.247,
2006-10,81.365,
2007-01,76.443,
2007-04,73.795,
2007-07,76.280,
2007-10,79.315,
2008-01,83.641,
2008-04,77.705,
2008-07,76.483,
2008-10,86.004,
2009-01,73.944,
2009-04,85.066,
2009-07,76.514,
2009-10,82.275,
2010-01,85.488,
2010-04,108.754,
2010-07,126.397,
2010-10,119.825,
2011-01,112.900,
2011-04,79.079,
2011-07,74.999,
2011-10,80.330,
2012-01,72.530,
2012-04,73.114,
2012-07,64.392,
2012-10,66.484,
2013-01,61.825,
2013-04,64.922,
2013-07,59.357,
2013-10,61.092,
2014-01,49.987,Provisional value
2014-04,54.986,Provisional value
2014-07,58.463,Provisional value
