"",BBEX3.M.MAD.EUR.CA.AC.A01,BBEX3.M.MAD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Morocco  / EUR 1 = MAD ... (middle),
unit,MAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:02,
1999-01,10.73950,
1999-02,10.61150,
1999-03,10.53950,
1999-04,10.44850,
1999-05,10.40100,
1999-06,10.36500,
1999-07,10.47600,
1999-08,10.40400,
1999-09,10.39600,
1999-10,10.33400,
1999-11,10.13950,
1999-12,10.12150,
2000-01,10.02700,
2000-02,10.01400,
2000-03,9.91710,
2000-04,9.72975,
2000-05,9.85550,
2000-06,9.95130,
2000-07,9.83045,
2000-08,9.65230,
2000-09,9.60475,
2000-10,9.44275,
2000-11,9.55930,
2000-12,9.86805,
2001-01,9.89225,
2001-02,9.85655,
2001-03,9.72040,
2001-04,10.24200,
2001-05,10.11650,
2001-06,10.12100,
2001-07,10.20750,
2001-08,10.31650,
2001-09,10.30500,
2001-10,10.27500,
2001-11,10.24350,
2001-12,10.24900,
2002-01,10.16350,
2002-02,10.17050,
2002-03,10.19350,
2002-04,10.27950,
2002-05,10.36800,
2002-06,10.51950,
2002-07,10.48250,
2002-08,10.49400,
2002-09,10.50250,
2002-10,10.50150,
2002-11,10.51750,
2002-12,10.64000,
2003-01,10.70700,
2003-02,10.71000,
2003-03,10.73450,
2003-04,10.78850,
2003-05,10.90550,
2003-06,10.84150,
2003-07,10.81200,
2003-08,10.74750,
2003-09,10.88950,
2003-10,10.87950,
2003-11,10.94700,
2003-12,11.05500,
2004-01,11.02100,
2004-02,11.02100,
2004-03,11.00150,
2004-04,10.94300,
2004-05,10.98500,
2004-06,10.97400,
2004-07,10.95100,
2004-08,10.96600,
2004-09,11.02100,
2004-10,11.07200,
2004-11,11.15850,
2004-12,11.20750,
2005-01,11.11900,
2005-02,11.15300,
2005-03,11.11100,
2005-04,11.10200,
2005-05,11.00600,
2005-06,10.96000,
2005-07,10.96750,
2005-08,10.99850,
2005-09,10.95400,
2005-10,10.95300,
2005-11,10.90300,
2005-12,10.90850,
2006-01,10.96050,
2006-02,10.92450,
2006-03,10.96550,
2006-04,11.04800,
2006-05,11.09100,
2006-06,11.07600,
2006-07,11.07750,
2006-08,11.08100,
2006-09,11.05700,
2006-10,11.06700,
2006-11,11.14550,
2006-12,11.14100,
2007-01,11.10650,
2007-02,11.14850,
2007-03,11.16150,
2007-04,11.21200,
2007-05,11.18250,
2007-06,11.19200,
2007-07,11.21850,
2007-08,11.20950,
2007-09,11.28900,
2007-10,11.32300,
2007-11,11.36300,
2007-12,11.35200,
2008-01,11.37400,
2008-02,11.41650,
2008-03,11.49350,
2008-04,11.46150,
2008-05,11.45950,
2008-06,11.48550,
2008-07,11.47400,
2008-08,11.35900,
2008-09,11.30500,
2008-10,11.06750,
2008-11,11.07400,
2008-12,11.24600,
2009-01,11.09000,
2009-02,11.05100,
2009-03,11.16050,
2009-04,11.15050,
2009-05,11.27500,
2009-06,11.27550,
2009-07,11.27800,
2009-08,11.29950,
2009-09,11.34200,
2009-10,11.36800,
2009-11,11.39550,
2009-12,11.31600,
2010-01,11.25450,
2010-02,11.20150,
2010-03,11.19250,
2010-04,11.16150,
2010-05,11.00200,
2010-06,10.98950,
2010-07,11.12700,
2010-08,11.06350,
2010-09,11.21050,
2010-10,11.24950,
2010-11,11.11350,
2010-12,11.17050,
2011-01,11.22050,
2011-02,11.23800,
2011-03,11.28700,
2011-04,11.37500,
2011-05,11.31400,
2011-06,11.32650,
2011-07,11.30850,
2011-08,11.31850,
2011-09,11.17950,
2011-10,11.26050,
2011-11,11.19150,
2011-12,11.10550,
2012-01,11.14050,
2012-02,11.18150,
2012-03,11.16700,
2012-04,11.14950,
2012-05,11.01600,
2012-06,11.06200,
2012-07,10.99500,
2012-08,11.05100,
2012-09,11.10400,
2012-10,11.11250,
2012-11,11.11100,
2012-12,11.14750,
2013-01,11.19950,
2013-02,11.13250,
2013-03,11.08450,
2013-04,11.12600,
2013-05,11.11300,
2013-06,11.12750,
2013-07,11.15650,
2013-08,11.14800,
2013-09,11.19650,
2013-10,11.20900,
2013-11,11.20550,
2013-12,11.23050,
2014-01,11.19250,
2014-02,11.23500,
2014-03,11.23100,
2014-04,11.24300,
2014-05,11.20750,
2014-06,11.21250,
2014-07,11.17350,
2014-08,11.14250,
2014-09,11.04850,
2014-10,11.03400,
2014-11,11.03000,
2014-12,10.96950,
2015-01,10.81850,
"","Source: Calculated on the basis of the buying and selling rates of the Bank Al-Maghrib, Rabat.",
