"",BBEX3.M.KZT.EUR.CA.AC.A01,BBEX3.M.KZT.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Kazakhstan / EUR 1 = KZT ... (middle),
unit,KZT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:42,
1999-01,98.90,
1999-02,96.08,
1999-03,96.95,
1999-04,124.81,
1999-05,139.52,
1999-06,142.37,
1999-07,144.05,
1999-08,142.48,
1999-09,151.76,
1999-10,152.84,
1999-11,143.18,
1999-12,143.65,
2000-01,142.17,
2000-02,141.52,
2000-03,139.82,
2000-04,132.07,
2000-05,134.47,
2000-06,136.72,
2000-07,134.19,
2000-08,129.80,
2000-09,125.68,
2000-10,121.25,
2000-11,122.93,
2000-12,136.21,
2001-01,137.85,
2001-02,134.84,
2001-03,131.63,
2001-04,131.38,
2001-05,125.50,
2001-06,125.99,
2001-07,129.18,
2001-08,135.38,
2001-09,135.88,
2001-10,131.96,
2001-11,129.98,
2001-12,134.77,
2002-01,132.63,
2002-02,131.97,
2002-03,134.41,
2002-04,137.24,
2002-05,140.59,
2002-06,147.89,
2002-07,153.87,
2002-08,149.51,
2002-09,151.18,
2002-10,150.54,
2002-11,154.52,
2002-12,159.39,
2003-01,167.29,
2003-02,165.19,
2003-03,162.54,
2003-04,167.09,
2003-05,176.77,
2003-06,168.90,
2003-07,167.81,
2003-08,159.99,
2003-09,169.88,
2003-10,172.71,
2003-11,174.58,
2003-12,180.23,
2004-01,174.04,
2004-02,174.72,
2004-03,169.45,
2004-04,163.80,
2004-05,166.44,
2004-06,165.66,
2004-07,164.39,
2004-08,165.22,
2004-09,165.74,
2004-10,167.91,
2004-11,172.56,
2004-12,177.10,
2005-01,169.90,
2005-02,171.77,
2005-03,171.97,
2005-04,170.29,
2005-05,165.90,
2005-06,163.00,
2005-07,163.69,
2005-08,166.05,
2005-09,161.39,
2005-10,162.86,
2005-11,158.47,
2005-12,158.99,
2006-01,159.67,
2006-02,154.41,
2006-03,154.91,
2006-04,154.34,
2006-05,156.07,
2006-06,148.81,
2006-07,150.20,
2006-08,160.50,
2006-09,161.66,
2006-10,162.56,
2006-11,168.54,
2006-12,167.30,
2007-01,163.54,
2007-02,163.51,
2007-03,165.06,
2007-04,163.38,
2007-05,163.45,
2007-06,163.71,
2007-07,168.96,
2007-08,171.94,
2007-09,171.38,
2007-10,174.02,
2007-11,178.19,
2007-12,177.17,
2008-01,177.66,
2008-02,182.50,
2008-03,190.22,
2008-04,187.35,
2008-05,187.51,
2008-06,189.38,
2008-07,187.46,
2008-08,176.57,
2008-09,171.96,
2008-10,157.32,
2008-11,155.40,
2008-12,170.89,
2009-01,158.85,
2009-02,191.45,comment
2009-03,199.73,
2009-04,199.27,
2009-05,208.32,
2009-06,210.81,
2009-07,213.22,
2009-08,216.55,
2009-09,220.10,
2009-10,222.24,
2009-11,224.14,
2009-12,212.84,
2010-01,208.09,
2010-02,199.97,
2010-03,198.20,
2010-04,194.35,
2010-05,182.06,
2010-06,179.81,
2010-07,192.66,
2010-08,186.99,
2010-09,200.38,
2010-10,204.12,
2010-11,195.57,
2010-12,195.23,
2011-01,201.20,
2011-02,201.52,
2011-03,205.42,
2011-04,216.07,
2011-05,207.60,
2011-06,210.29,
2011-07,208.69,
2011-08,212.25,
2011-09,201.72,
2011-10,209.17,
2011-11,196.79,
2011-12,191.72,
2012-01,195.28,
2012-02,198.53,
2012-03,196.64,
2012-04,195.98,
2012-05,183.96,
2012-06,185.48,
2012-07,183.89,
2012-08,187.64,
2012-09,194.02,
2012-10,194.89,
2012-11,195.25,
2012-12,199.22,
2013-01,203.82,
2013-02,196.80,
2013-03,193.33,
2013-04,197.94,
2013-05,195.85,
2013-06,197.76,
2013-07,203.20,
2013-08,202.70,
2013-09,207.56,
2013-10,212.42,
2013-11,209.71,
2013-12,211.17,
2014-01,211.58,
2014-02,251.41,comment
2014-03,249.70,
2014-04,252.45,
2014-05,249.87,
2014-06,249.92,
2014-07,245.93,
2014-08,240.29,
2014-09,230.56,
2014-10,227.08,
2014-11,225.58,
2014-12,221.97,
2015-01,208.19,
"","Source: National Bank of Kazakhstan, Almaty.",
"","Comment on 2009-02: On 5 February 2009, the tenge was devalued. We recorded the following exchange rates:  4 February 2009 EUR 1 = KZT 157.07  5 February 2009 EUR 1 = KZT 186.55. Calculated devaluation: 15.8%.",
"","Comment on 2014-02: On 11 February 2014, the prevailing exchange rate band was changed from 145 - 155 tenge to 182 - 188 tenge per US dollar. We recorded the following exchange rates: 11 February 2014 EUR 1 = KZT 212.25 12 February 2014 EUR 1 = KZT 224.07 13 February 2014 EUR 1 = KZT 251.57. Calculated using the exchange rates from 11 and 13 February 2014, the tenge was devalued by 15.6%.",
