"",BBK01.OEXI04S,BBK01.OEXI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:52,
2002-01,0.607,
2002-04,0.541,
2002-07,0.505,
2002-10,0.371,
2003-01,0.365,
2003-04,0.345,
2003-07,0.348,
2003-10,0.334,
2004-01,0.299,
2004-04,0.265,
2004-07,0.254,
2004-10,0.253,
2005-01,0.227,
2005-04,0.252,
2005-07,0.241,
2005-10,0.306,
2006-01,0.336,
2006-04,0.387,
2006-07,0.427,
2006-10,0.439,
2007-01,0.547,
2007-04,0.611,
2007-07,0.714,
2007-10,0.784,
2008-01,0.855,
2008-04,0.903,
2008-07,0.937,
2008-10,0.802,
2009-01,0.354,
2009-04,0.225,
2009-07,0.162,
2009-10,0.115,
2010-01,0.119,
2010-04,0.128,
2010-07,0.100,
2010-10,0.113,
2011-01,0.156,
2011-04,0.157,
2011-07,0.178,
2011-10,0.660,
2012-01,0.827,
2012-04,1.017,
2012-07,1.106,
2012-10,1.145,
2013-01,0.858,
2013-04,1.181,
2013-07,1.122,
2013-10,1.103,
2014-01,1.060,
2014-04,1.013,
2014-07,0.945,
