"",BBK01.OEYB20I,BBK01.OEYB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:45,
2002-01,8.482,
2002-04,8.294,
2002-07,7.683,
2002-10,7.736,
2003-01,7.686,
2003-04,7.612,
2003-07,9.288,
2003-10,8.935,
2004-01,8.824,
2004-04,8.690,
2004-07,9.445,
2004-10,9.298,
2005-01,9.254,
2005-04,9.120,
2005-07,9.313,
2005-10,9.193,
2006-01,9.128,
2006-04,9.166,
2006-07,9.505,
2006-10,7.890,
2007-01,7.711,
2007-04,7.313,
2007-07,7.065,
2007-10,6.844,
2008-01,6.703,
2008-04,6.950,
2008-07,6.762,
2008-10,6.699,
2009-01,6.491,
2009-04,6.518,
2009-07,6.401,
2009-10,6.262,
2010-01,6.153,
2010-04,6.442,
2010-07,6.030,
2010-10,5.814,
2011-01,5.702,
2011-04,5.520,
2011-07,5.385,
2011-10,5.250,
2012-01,5.130,
2012-04,4.975,
2012-07,4.761,
2012-10,4.566,
2013-01,4.338,
2013-04,4.193,
2013-07,4.031,
2013-10,3.877,
2014-01,3.722,
2014-04,3.622,
2014-07,3.510,
