"",BBFN1.M.DE.N.1.L.F1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.F1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:09,
1995-01,2.050,
1995-02,2.130,
1995-03,2.129,
1995-04,2.212,
1995-05,2.189,
1995-06,2.172,
1995-07,2.196,
1995-08,2.122,
1995-09,1.986,
1995-10,1.997,
1995-11,2.069,
1995-12,2.084,
1996-01,2.007,
1996-02,2.022,
1996-03,2.160,
1996-04,2.091,
1996-05,2.149,
1996-06,2.160,
1996-07,2.258,
1996-08,2.189,
1996-09,2.248,
1996-10,2.331,
1996-11,2.294,
1996-12,2.378,
1997-01,2.391,
1997-02,2.693,
1997-03,2.656,
1997-04,2.646,
1997-05,2.579,
1997-06,2.462,
1997-07,2.592,
1997-08,2.601,
1997-09,2.564,
1997-10,2.754,
1997-11,2.756,
1997-12,2.550,
1998-01,2.617,
1998-02,2.726,
1998-03,2.656,
1998-04,2.597,
1998-05,2.588,
1998-06,2.351,
1998-07,2.450,
1998-08,2.419,
1998-09,2.449,
1998-10,2.476,
1998-11,2.572,
1998-12,2.548,
1999-01,2.462,
1999-02,2.530,
1999-03,2.514,
1999-04,2.488,
1999-05,2.602,
1999-06,2.373,
1999-07,2.462,
1999-08,2.447,
1999-09,2.336,
1999-10,2.369,
1999-11,2.359,
1999-12,2.390,
2000-01,2.463,
2000-02,2.562,
2000-03,2.622,
2000-04,2.566,
2000-05,2.698,
2000-06,2.677,
2000-07,2.799,
2000-08,3.040,
2000-09,2.808,
2000-10,2.928,
2000-11,2.979,
2000-12,2.655,
2001-01,2.494,
2001-02,3.224,
2001-03,3.157,
2001-04,3.008,
2001-05,3.042,
2001-06,3.145,
2001-07,2.931,
2001-08,2.956,
2001-09,3.017,
2001-10,3.114,
2001-11,3.076,
2001-12,2.961,
2002-01,2.824,
2002-02,2.870,
2002-03,2.721,
2002-04,2.829,
2002-05,2.857,
2002-06,2.617,
2002-07,2.684,
2002-08,2.477,
2002-09,2.585,
2002-10,2.599,
2002-11,2.596,
2002-12,2.467,
2003-01,2.445,
2003-02,2.276,
2003-03,2.254,
2003-04,2.135,
2003-05,2.149,
2003-06,2.108,
2003-07,2.270,
2003-08,2.268,
2003-09,2.338,
2003-10,2.384,
2003-11,2.443,
2003-12,2.579,
2004-01,2.484,
2004-02,2.475,
2004-03,2.537,
2004-04,2.556,
2004-05,2.678,
2004-06,2.690,
2004-07,2.856,
2004-08,2.971,
2004-09,3.017,
2004-10,3.145,
2004-11,2.996,
2004-12,2.834,
2005-01,2.901,
2005-02,3.010,
2005-03,2.732,
2005-04,2.654,
2005-05,2.851,
2005-06,2.788,
2005-07,2.927,
2005-08,3.055,
2005-09,3.124,
2005-10,3.229,
2005-11,3.126,
2005-12,2.928,
2006-01,2.906,
2006-02,3.052,
2006-03,3.018,
2006-04,3.135,
2006-05,3.170,
2006-06,3.178,
2006-07,3.338,
2006-08,3.415,
2006-09,3.328,
2006-10,3.271,
2006-11,3.297,
2006-12,3.368,
2007-01,3.366,
2007-02,3.396,
2007-03,3.425,
2007-04,3.462,
2007-05,3.319,
2007-06,3.279,
2007-07,3.363,
2007-08,3.494,
2007-09,3.526,
2007-10,3.604,
2007-11,3.826,
2007-12,3.669,
2008-01,3.900,
2008-02,3.994,
2008-03,4.030,
2008-04,4.139,
2008-05,4.348,
2008-06,5.077,
2008-07,4.791,
2008-08,5.093,
2008-09,5.111,
2008-10,5.253,
2008-11,5.164,
2008-12,5.207,
2009-01,5.104,
2009-02,4.953,
2009-03,4.884,
2009-04,4.986,
2009-05,5.030,
2009-06,4.916,
2009-07,5.056,
2009-08,5.172,
2009-09,5.269,
2009-10,5.378,
2009-11,5.438,
2009-12,5.300,
2010-01,5.385,
2010-02,5.485,
2010-03,5.769,
2010-04,5.794,
2010-05,6.011,
2010-06,5.823,
2010-07,5.888,
2010-08,5.961,
2010-09,6.061,
2010-10,6.164,
2010-11,6.230,
2010-12,6.063,
2011-01,5.979,
2011-02,6.087,
2011-03,6.114,
2011-04,6.021,
2011-05,6.201,
2011-06,6.322,
2011-07,6.292,
2011-08,6.160,
2011-09,6.164,
2011-10,6.244,
2011-11,6.233,
2011-12,6.488,
2012-01,6.244,
2012-02,6.352,
2012-03,6.495,
2012-04,6.510,
2012-05,6.583,
2012-06,6.615,
2012-07,6.502,
2012-08,6.389,
2012-09,6.528,
2012-10,6.492,
2012-11,6.749,
2012-12,6.665,
2013-01,6.898,
2013-02,6.994,
2013-03,7.062,
2013-04,6.938,
2013-05,6.900,
2013-06,6.939,
2013-07,6.602,
2013-08,6.646,
2013-09,6.997,
2013-10,7.091,
2013-11,7.130,
2013-12,7.013,
2014-01,7.025,
2014-02,7.075,
2014-03,6.433,
2014-04,6.506,
2014-05,6.545,
2014-06,6.620,
2014-07,6.496,
2014-08,6.620,
2014-09,6.444,
2014-10,6.334,
2014-11,6.733,
2014-12,6.363,
