"",BBFN1.M.DE.N.1.A.TH.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:31,
1994-12,0.595,
1995-01,0.620,
1995-02,0.561,
1995-03,0.586,
1995-04,0.605,
1995-05,0.610,
1995-06,0.631,
1995-07,0.662,
1995-08,0.706,
1995-09,0.707,
1995-10,0.641,
1995-11,0.681,
1995-12,0.757,
1996-01,0.723,
1996-02,0.752,
1996-03,0.783,
1996-04,0.770,
1996-05,0.783,
1996-06,0.830,
1996-07,0.885,
1996-08,0.813,
1996-09,0.822,
1996-10,0.855,
1996-11,0.926,
1996-12,0.916,
1997-01,0.912,
1997-02,0.938,
1997-03,1.036,
1997-04,0.993,
1997-05,1.005,
1997-06,0.979,
1997-07,0.998,
1997-08,1.033,
1997-09,1.037,
1997-10,1.074,
1997-11,1.061,
1997-12,1.101,
1998-01,1.039,
1998-02,1.137,
1998-03,1.100,
1998-04,1.062,
1998-05,1.043,
1998-06,1.030,
1998-07,1.048,
1998-08,0.989,
1998-09,0.983,
1998-10,0.953,
1998-11,1.044,
1998-12,0.948,
1999-01,0.943,
1999-02,0.955,
1999-03,0.956,
1999-04,0.941,
1999-05,0.990,
1999-06,1.014,
1999-07,0.935,
1999-08,0.992,
1999-09,0.996,
1999-10,0.973,
1999-11,0.945,
1999-12,0.969,
2000-01,0.975,
2000-02,0.994,
2000-03,0.987,
2000-04,0.968,
2000-05,0.979,
2000-06,0.924,
2000-07,0.915,
2000-08,0.897,
2000-09,0.958,
2000-10,0.976,
2000-11,0.993,
2000-12,0.995,
2001-01,0.970,
2001-02,0.921,
2001-03,0.938,
2001-04,1.026,
2001-05,1.060,
2001-06,1.091,
2001-07,1.102,
2001-08,1.016,
2001-09,1.020,
2001-10,1.003,
2001-11,0.929,
2001-12,0.905,
2002-01,0.931,
2002-02,1.010,
2002-03,0.923,
2002-04,0.793,
2002-05,0.779,
2002-06,0.848,
2002-07,0.961,
2002-08,0.927,
2002-09,0.837,
2002-10,0.834,
2002-11,0.862,
2002-12,0.843,
2003-01,0.822,
2003-02,0.767,
2003-03,0.770,
2003-04,0.755,
2003-05,0.748,
2003-06,0.742,
2003-07,0.731,
2003-08,0.689,
2003-09,0.707,
2003-10,0.702,
2003-11,0.690,
2003-12,0.652,
2004-01,0.646,
2004-02,0.657,
2004-03,0.661,
2004-04,0.675,
2004-05,0.681,
2004-06,0.690,
2004-07,0.690,
2004-08,0.693,
2004-09,0.670,
2004-10,0.691,
2004-11,0.662,
2004-12,0.715,
2005-01,0.703,
2005-02,0.700,
2005-03,0.900,
2005-04,0.894,
2005-05,0.942,
2005-06,0.685,
2005-07,0.705,
2005-08,0.684,
2005-09,0.638,
2005-10,0.667,
2005-11,0.699,
2005-12,0.713,
2006-01,0.702,
2006-02,0.730,
2006-03,0.715,
2006-04,0.727,
2006-05,0.749,
2006-06,0.734,
2006-07,0.717,
2006-08,0.740,
2006-09,0.719,
2006-10,0.705,
2006-11,0.737,
2006-12,0.713,
2007-01,0.714,
2007-02,0.722,
2007-03,0.769,
2007-04,0.773,
2007-05,0.780,
2007-06,0.796,
2007-07,0.843,
2007-08,0.831,
2007-09,0.853,
2007-10,0.829,
2007-11,0.840,
2007-12,0.831,
2008-01,0.823,
2008-02,0.803,
2008-03,0.823,
2008-04,0.844,
2008-05,0.855,
2008-06,0.866,
2008-07,0.679,
2008-08,0.683,
2008-09,0.680,
2008-10,0.672,
2008-11,0.686,
2008-12,0.640,
2009-01,0.523,
2009-02,0.528,
2009-03,0.543,
2009-04,0.542,
2009-05,0.523,
2009-06,0.518,
2009-07,0.545,
2009-08,0.541,
2009-09,0.558,
2009-10,0.561,
2009-11,0.549,
2009-12,0.582,
2010-01,0.599,
2010-02,0.991,
2010-03,0.580,
2010-04,0.601,
2010-05,0.664,
2010-06,0.645,
2010-07,0.619,
2010-08,0.630,
2010-09,0.615,
2010-10,0.641,
2010-11,0.644,
2010-12,0.668,
2011-01,0.654,
2011-02,0.685,
2011-03,0.696,
2011-04,0.786,
2011-05,0.804,
2011-06,0.829,
2011-07,0.861,
2011-08,0.897,
2011-09,0.853,
2011-10,0.857,
2011-11,0.861,
2011-12,0.851,
2012-01,0.923,
2012-02,0.971,
2012-03,0.968,
2012-04,1.025,
2012-05,1.089,
2012-06,1.139,
2012-07,1.136,
2012-08,1.137,
2012-09,1.145,
2012-10,1.120,
2012-11,1.118,
2012-12,1.132,
2013-01,1.114,
2013-02,1.068,
2013-03,1.109,
2013-04,1.180,
2013-05,1.110,
2013-06,1.157,
2013-07,1.091,
2013-08,1.008,
2013-09,1.042,
2013-10,0.990,
2013-11,0.964,
2013-12,0.955,
2014-01,0.906,
2014-02,0.862,
2014-03,0.900,
2014-04,0.924,
2014-05,0.936,
2014-06,0.970,
2014-07,1.003,
2014-08,0.993,
2014-09,1.007,
2014-10,1.026,
2014-11,1.036,
2014-12,1.044,
