"",BBK01.OEXL08T,BBK01.OEXL08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:38,
2002-01,0.381,
2002-04,0.365,
2002-07,0.362,
2002-10,0.387,
2003-01,0.427,
2003-04,0.429,
2003-07,0.436,
2003-10,0.450,
2004-01,0.447,
2004-04,0.448,
2004-07,0.435,
2004-10,0.332,
2005-01,0.339,
2005-04,0.345,
2005-07,0.332,
2005-10,0.345,
2006-01,0.352,
2006-04,0.339,
2006-07,0.323,
2006-10,0.340,
2007-01,0.330,
2007-04,0.320,
2007-07,0.318,
2007-10,0.326,
2008-01,0.330,
2008-04,0.320,
2008-07,0.315,
2008-10,0.315,
2009-01,0.329,
2009-04,0.320,
2009-07,0.320,
2009-10,0.337,
2010-01,0.336,
2010-04,0.325,
2010-07,0.326,
2010-10,0.327,
2011-01,0.319,
2011-04,0.300,
2011-07,0.291,
2011-10,0.290,
2012-01,0.286,
2012-04,0.285,
2012-07,0.296,
2012-10,0.307,
2013-01,0.308,
2013-04,0.312,
2013-07,0.319,
2013-10,0.327,
2014-01,0.323,
2014-04,0.322,
2014-07,0.315,
