"",BBK01.CEHE10,BBK01.CEHE10_FLAGS
"",short-term loans debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:00,
1991-01,50.2,
1991-04,12.2,
1991-07,4.3,
1991-10,10.0,
1992-01,-3.9,
1992-04,9.0,
1992-07,-3.1,
1992-10,2.7,
1993-01,-1.9,
1993-04,0.5,
1993-07,-1.7,
1993-10,-1.6,
1994-01,-2.6,
1994-04,0.0,
1994-07,-0.2,
1994-10,5.2,
1995-01,6.2,
1995-04,6.3,
1995-07,6.2,
1995-10,-1.1,
1996-01,5.4,
1996-04,7.6,
1996-07,2.1,
1996-10,1.2,
1997-01,3.2,
1997-04,8.5,
1997-07,-5.1,
1997-10,4.0,
1998-01,5.2,
1998-04,8.2,
1998-07,6.3,
1998-10,11.8,
1999-01,-9.0,
1999-04,5.4,
1999-07,-2.7,
1999-10,24.9,
2000-01,-6.0,
2000-04,16.6,
2000-07,-5.9,
2000-10,37.6,
2001-01,13.8,
2001-04,10.7,
2001-07,-8.7,
2001-10,10.3,
2002-01,-1.2,
2002-04,2.4,
2002-07,6.2,
2002-10,-16.0,
2003-01,-4.8,
2003-04,1.0,
2003-07,-8.6,
2003-10,-0.9,
2004-01,-12.6,
2004-04,-7.9,
2004-07,-9.9,
2004-10,-1.5,
2005-01,-0.7,
2005-04,2.9,
2005-07,-0.5,
2005-10,3.5,
2006-01,1.5,
2006-04,11.2,
2006-07,5.1,
2006-10,-0.5,
2007-01,15.2,
2007-04,8.6,
2007-07,5.8,
2007-10,1.8,
2008-01,6.3,
2008-04,14.0,
2008-07,0.0,
2008-10,-1.4,
2009-01,2.3,
2009-04,-1.6,
2009-07,-25.0,
2009-10,-26.5,
2010-01,6.9,
2010-04,0.9,
2010-07,-12.1,
2010-10,-17.5,
2011-01,-9.0,
2011-04,5.7,
2011-07,11.8,
2011-10,10.6,
2012-01,1.7,
2012-04,7.5,
2012-07,3.8,
2012-10,-5.6,
2013-01,12.1,
2013-04,10.2,
2013-07,-16.3,
2013-10,-9.4,
2014-01,12.5,
