"",BBK01.OEYL01S,BBK01.OEYL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:57,
2002-01,2.616,
2002-04,2.685,
2002-07,2.723,
2002-10,2.899,
2003-01,3.038,
2003-04,3.106,
2003-07,3.135,
2003-10,3.292,
2004-01,3.375,
2004-04,3.448,
2004-07,3.478,
2004-10,3.638,
2005-01,3.734,
2005-04,3.805,
2005-07,3.836,
2005-10,3.986,
2006-01,4.060,
2006-04,4.093,
2006-07,4.087,
2006-10,4.207,
2007-01,4.235,
2007-04,4.219,
2007-07,4.175,
2007-10,4.259,
2008-01,4.262,
2008-04,4.188,
2008-07,4.111,
2008-10,4.120,
2009-01,4.119,
2009-04,4.112,
2009-07,4.143,
2009-10,4.319,
2010-01,4.385,
2010-04,4.382,
2010-07,4.409,
2010-10,4.486,
2011-01,4.488,
2011-04,4.457,
2011-07,4.451,
2011-10,4.545,
2012-01,4.583,
2012-04,4.608,
2012-07,4.646,
2012-10,4.637,
2013-01,4.690,
2013-04,4.720,
2013-07,4.761,
2013-10,4.819,
2014-01,4.884,
2014-04,4.913,
2014-07,4.981,
