"",BBEX3.A.QAR.USD.CA.AC.A04,BBEX3.A.QAR.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Qatar / USD 1 = QAR ... (middle),
unit,QAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:58,
1983,3.6401,
1984,3.6401,
1985,3.6401,
1986,3.6401,
1987,3.6401,
1988,3.6401,
1989,3.6401,
1990,3.6401,
1991,3.6401,
1992,3.6401,
1993,3.6401,
1994,3.6401,
1995,3.6401,
1996,3.6401,
1997,3.6401,
1998,3.6401,
1999,3.6401,
2000,3.6401,
2001,3.6401,
2002,3.6401,
2003,3.6401,
2004,3.6401,
2005,3.6401,
2006,3.6401,
2007,3.6401,
2008,3.6401,
2009,3.6401,
2010,3.6401,
2011,3.6401,
2012,3.6401,
2013,3.6401,
2014,3.6401,
"",General: The Qatari riyal is pegged to the US dollar.,
"","Source: Calculated on the basis of buying and selling rates of the Qatar National Bank, Doha.",
