"",BBK01.OEXO03O,BBK01.OEXO03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:35,
2002-01,-0.709,
2002-04,-0.645,
2002-07,-0.703,
2002-10,-0.650,
2003-01,-0.669,
2003-04,-1.095,
2003-07,-0.919,
2003-10,-0.896,
2004-01,-0.990,
2004-04,-0.998,
2004-07,-0.884,
2004-10,-0.998,
2005-01,0.206,
2005-04,0.201,
2005-07,0.221,
2005-10,0.215,
2006-01,0.288,
2006-04,0.237,
2006-07,0.216,
2006-10,0.231,
2007-01,0.299,
2007-04,0.233,
2007-07,0.251,
2007-10,0.293,
2008-01,0.332,
2008-04,0.309,
2008-07,0.312,
2008-10,0.423,
2009-01,0.360,
2009-04,0.307,
2009-07,0.267,
2009-10,0.452,
2010-01,0.397,
2010-04,0.217,
2010-07,0.213,
2010-10,0.261,
2011-01,0.296,
2011-04,0.222,
2011-07,0.190,
2011-10,0.285,
2012-01,0.349,
2012-04,0.200,
2012-07,0.224,
2012-10,0.273,
2013-01,0.261,
2013-04,0.222,
2013-07,0.158,
2013-10,0.138,
2014-01,0.152,
2014-04,0.137,
2014-07,0.141,
