"",BBFN1.M.DE.N.1.A.S1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:31,
1995-01,15.624,
1995-02,16.115,
1995-03,16.130,
1995-04,16.397,
1995-05,16.486,
1995-06,16.967,
1995-07,18.174,
1995-08,18.046,
1995-09,18.160,
1995-10,18.351,
1995-11,18.197,
1995-12,18.057,
1996-01,18.595,
1996-02,18.690,
1996-03,18.676,
1996-04,19.338,
1996-05,19.230,
1996-06,19.768,
1996-07,20.794,
1996-08,20.957,
1996-09,21.235,
1996-10,21.634,
1996-11,21.592,
1996-12,20.287,
1997-01,21.598,
1997-02,21.686,
1997-03,22.170,
1997-04,22.625,
1997-05,22.642,
1997-06,22.337,
1997-07,22.581,
1997-08,22.498,
1997-09,22.457,
1997-10,21.991,
1997-11,21.496,
1997-12,21.616,
1998-01,20.749,
1998-02,21.098,
1998-03,20.422,
1998-04,20.088,
1998-05,20.016,
1998-06,19.530,
1998-07,19.934,
1998-08,19.230,
1998-09,18.908,
1998-10,19.504,
1998-11,19.673,
1998-12,19.237,
1999-01,18.880,
1999-02,19.245,
1999-03,19.984,
1999-04,18.912,
1999-05,19.667,
1999-06,20.473,
1999-07,20.382,
1999-08,20.847,
1999-09,20.438,
1999-10,21.167,
1999-11,21.507,
1999-12,21.132,
2000-01,21.383,
2000-02,21.248,
2000-03,22.099,
2000-04,22.338,
2000-05,22.350,
2000-06,22.349,
2000-07,22.596,
2000-08,22.976,
2000-09,23.676,
2000-10,24.134,
2000-11,23.883,
2000-12,23.848,
2001-01,23.654,
2001-02,23.841,
2001-03,24.426,
2001-04,25.565,
2001-05,25.237,
2001-06,26.187,
2001-07,25.101,
2001-08,24.527,
2001-09,24.988,
2001-10,25.222,
2001-11,24.682,
2001-12,23.988,
2002-01,23.196,
2002-02,23.854,
2002-03,23.825,
2002-04,24.091,
2002-05,24.448,
2002-06,24.709,
2002-07,25.231,
2002-08,24.730,
2002-09,25.145,
2002-10,24.901,
2002-11,25.336,
2002-12,24.595,
2003-01,24.685,
2003-02,24.364,
2003-03,24.622,
2003-04,24.518,
2003-05,24.419,
2003-06,23.981,
2003-07,24.537,
2003-08,24.460,
2003-09,24.420,
2003-10,24.742,
2003-11,25.411,
2003-12,25.066,
2004-01,24.385,
2004-02,24.082,
2004-03,24.890,
2004-04,24.818,
2004-05,25.537,
2004-06,25.598,
2004-07,25.717,
2004-08,25.607,
2004-09,25.572,
2004-10,25.816,
2004-11,25.530,
2004-12,25.578,
2005-01,24.695,
2005-02,25.122,
2005-03,25.987,
2005-04,26.985,
2005-05,27.318,
2005-06,28.159,
2005-07,28.313,
2005-08,28.268,
2005-09,28.682,
2005-10,28.408,
2005-11,29.631,
2005-12,29.363,
2006-01,29.899,
2006-02,30.582,
2006-03,29.877,
2006-04,29.919,
2006-05,30.729,
2006-06,30.975,
2006-07,30.740,
2006-08,30.984,
2006-09,31.282,
2006-10,31.427,
2006-11,31.689,
2006-12,31.829,
2007-01,31.714,
2007-02,32.333,
2007-03,32.662,
2007-04,32.711,
2007-05,33.308,
2007-06,33.742,
2007-07,33.979,
2007-08,34.396,
2007-09,35.087,
2007-10,35.186,
2007-11,36.352,
2007-12,35.533,
2008-01,35.084,
2008-02,35.437,
2008-03,35.986,
2008-04,37.326,
2008-05,37.374,
2008-06,37.786,
2008-07,38.257,
2008-08,38.794,
2008-09,37.956,
2008-10,39.212,
2008-11,39.696,
2008-12,39.086,
2009-01,36.825,
2009-02,36.085,
2009-03,36.527,
2009-04,35.849,
2009-05,36.110,
2009-06,36.444,
2009-07,36.922,
2009-08,37.162,
2009-09,38.106,
2009-10,38.254,
2009-11,38.884,
2009-12,38.980,
2010-01,39.000,
2010-02,40.022,
2010-03,41.206,
2010-04,42.846,
2010-05,44.382,
2010-06,45.670,
2010-07,45.138,
2010-08,44.319,
2010-09,44.318,
2010-10,45.574,
2010-11,46.440,
2010-12,47.016,
2011-01,45.907,
2011-02,47.010,
2011-03,47.780,
2011-04,48.512,
2011-05,49.396,
2011-06,48.922,
2011-07,49.963,
2011-08,49.968,
2011-09,50.998,
2011-10,51.784,
2011-11,52.879,
2011-12,52.937,
2012-01,52.652,
2012-02,52.637,
2012-03,54.026,
2012-04,55.621,
2012-05,55.738,
2012-06,57.163,
2012-07,57.747,
2012-08,56.577,
2012-09,56.413,
2012-10,55.796,
2012-11,55.974,
2012-12,54.038,
2013-01,51.863,
2013-02,52.815,
2013-03,54.857,
2013-04,55.569,
2013-05,54.574,
2013-06,56.474,
2013-07,53.497,
2013-08,54.984,
2013-09,55.697,
2013-10,55.627,
2013-11,57.434,
2013-12,55.230,
2014-01,54.348,
2014-02,54.665,
2014-03,56.436,
2014-04,61.279,
2014-05,57.958,
2014-06,59.671,
2014-07,61.150,
2014-08,60.930,
2014-09,61.532,
2014-10,63.437,
2014-11,63.952,
2014-12,64.089,
