"",BBFN1.M.DE.N.1.L.AZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:51,
2006-03,0.121,
2006-04,0.165,
2006-05,0.166,
2006-06,0.192,
2006-07,0.193,
2006-08,0.219,
2006-09,0.221,
2006-10,0.221,
2006-11,0.228,
2006-12,0.223,
2007-01,0.226,
2007-02,0.230,
2007-03,0.365,
2007-04,0.263,
2007-05,0.308,
2007-06,0.290,
2007-07,0.293,
2007-08,0.332,
2007-09,0.290,
2007-10,0.340,
2007-11,0.525,
2007-12,0.355,
2008-01,0.322,
2008-02,0.304,
2008-03,0.682,
2008-04,0.347,
2008-05,0.359,
2008-06,0.356,
2008-07,0.337,
2008-08,0.341,
2008-09,0.336,
2008-10,0.328,
2008-11,0.331,
2008-12,0.354,
2009-01,0.356,
2009-02,0.356,
2009-03,0.357,
2009-04,0.352,
2009-05,0.365,
2009-06,0.362,
2009-07,0.360,
2009-08,0.362,
2009-09,0.118,
2009-10,0.136,
2009-11,0.133,
2009-12,0.118,
2010-01,0.123,
2010-02,0.124,
2010-03,0.126,
2010-04,0.132,
2010-05,0.128,
2010-06,0.129,
2010-07,0.127,
2010-08,0.135,
2010-09,0.135,
2010-10,0.135,
2010-11,0.137,
2010-12,0.165,
2011-01,0.168,
2011-02,0.170,
2011-03,0.168,
2011-04,0.176,
2011-05,0.177,
2011-06,0.174,
2011-07,0.155,
2011-08,0.166,
2011-09,0.159,
2011-10,0.158,
2011-11,0.184,
2011-12,0.188,
2012-01,0.194,
2012-02,0.198,
2012-03,0.198,
2012-04,0.200,
2012-05,0.212,
2012-06,0.189,
2012-07,0.198,
2012-08,0.208,
2012-09,0.214,
2012-10,0.219,
2012-11,0.215,
2012-12,0.195,
2013-01,0.204,
2013-02,0.213,
2013-03,0.209,
2013-04,0.228,
2013-05,0.173,
2013-06,0.257,
2013-07,0.260,
2013-08,0.235,
2013-09,0.232,
2013-10,0.232,
2013-11,0.259,
2013-12,0.212,
2014-01,0.209,
2014-02,0.220,
2014-03,0.204,
2014-04,0.212,
2014-05,0.213,
2014-06,0.196,
2014-07,0.192,
2014-08,0.199,
2014-09,0.190,
2014-10,0.198,
2014-11,0.146,
2014-12,0.131,
