"",BBK01.OELB24G,BBK01.OELB24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:21,
2002-01,0.396,
2002-04,0.380,
2002-07,0.372,
2002-10,0.437,
2003-01,0.446,
2003-04,0.455,
2003-07,0.440,
2003-10,0.451,
2004-01,0.382,
2004-04,0.408,
2004-07,0.393,
2004-10,0.317,
2005-01,0.312,
2005-04,0.320,
2005-07,0.320,
2005-10,0.316,
2006-01,0.313,
2006-04,0.298,
2006-07,0.291,
2006-10,0.302,
2007-01,0.279,
2007-04,0.277,
2007-07,0.290,
2007-10,0.287,
2008-01,0.291,
2008-04,0.295,
2008-07,0.297,
2008-10,0.317,
2009-01,0.351,
2009-04,0.373,
2009-07,0.387,
2009-10,0.455,
2010-01,0.459,
2010-04,0.436,
2010-07,0.433,
2010-10,0.446,
2011-01,0.467,
2011-04,0.475,
2011-07,0.474,
2011-10,0.499,
2012-01,0.508,
2012-04,0.508,
2012-07,0.512,
2012-10,0.531,
2013-01,0.539,
2013-04,0.536,
2013-07,0.551,
2013-10,0.580,
2014-01,0.588,
2014-04,0.611,
2014-07,0.624,
