"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA._Z.F._Z._T._X.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Not applicable,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:42,
1991-01,573.394,
1991-02,3546.089,
1991-03,3544.322,
1991-04,2771.031,
1991-05,1517.869,
1991-06,5399.776,
1991-07,121.216,
1991-08,203.100,
1991-09,2215.935,
1991-10,3513.741,
1991-11,768.338,
1991-12,-254.755,
1992-01,-2534.343,
1992-02,-157.347,
1992-03,-620.569,
1992-04,-552.234,
1992-05,1251.501,
1992-06,708.465,
1992-07,1467.815,
1992-08,-896.117,
1992-09,3708.206,
1992-10,3683.593,
1992-11,2231.688,
1992-12,-2122.554,
1993-01,187.096,
1993-02,1959.344,
1993-03,1818.075,
1993-04,1899.432,
1993-05,900.286,
1993-06,-824.570,
1993-07,-1291.290,
1993-08,-95.747,
1993-09,265.840,
1993-10,1449.820,
1993-11,-600.411,
1993-12,1574.543,
1994-01,-2021.841,
1994-02,2542.353,
1994-03,3503.088,
1994-04,1174.551,
1994-05,1876.303,
1994-06,-460.720,
1994-07,433.696,
1994-08,815.732,
1994-09,1487.599,
1994-10,1167.993,
1994-11,2959.245,
1994-12,1857.509,
1995-01,1874.126,
1995-02,1606.714,
1995-03,3295.312,
1995-04,1038.005,
1995-05,479.254,
1995-06,-481.845,
1995-07,498.469,
1995-08,-750.347,
1995-09,3653.174,
1995-10,2321.442,
1995-11,1282.787,
1995-12,1403.489,
1996-01,-1629.329,
1996-02,4083.453,
1996-03,1045.413,
1996-04,3282.721,
1996-05,3517.366,
1996-06,-5510.592,
1996-07,-1090.293,
1996-08,-393.241,
1996-09,6154.859,
1996-10,1131.111,
1996-11,2976.569,
1996-12,6730.857,
1997-01,2871.334,
1997-02,6564.563,
1997-03,3285.215,
1997-04,4872.702,
1997-05,-1173.565,
1997-06,9508.796,
1997-07,2571.926,
1997-08,-9236.360,
1997-09,10148.311,
1997-10,-2588.111,
1997-11,1852.861,
1997-12,5040.521,
1998-01,452.211,
1998-02,10198.650,
1998-03,15671.183,
1998-04,8037.305,
1998-05,9765.852,
1998-06,11198.746,
1998-07,-4124.725,
1998-08,-8811.245,
1998-09,14199.238,
1998-10,-7048.550,
1998-11,29937.372,
1998-12,4000.053,
1999-01,7059.617,
1999-02,5627.565,
1999-03,-1761.064,
1999-04,6768.029,
1999-05,8373.941,
1999-06,26526.876,
1999-07,-1588.107,
1999-08,5797.557,
1999-09,10514.679,
1999-10,19102.358,
1999-11,4402.975,
1999-12,46049.308,
2000-01,17987.699,
2000-02,55794.857,
2000-03,22844.769,
2000-04,7662.840,
2000-05,16050.777,
2000-06,62356.466,
2000-07,6819.986,
2000-08,19799.873,
2000-09,31850.957,
2000-10,11552.176,
2000-11,10034.658,
2000-12,-30209.290,
2001-01,7098.711,
2001-02,20081.786,
2001-03,6660.541,
2001-04,12986.564,
2001-05,47979.079,
2001-06,26625.098,
2001-07,16722.231,
2001-08,391.799,
2001-09,17198.825,
2001-10,3771.914,
2001-11,-10120.295,
2001-12,19569.517,
2002-01,3704.594,
2002-02,9624.851,
2002-03,11684.980,
2002-04,-991.599,
2002-05,23876.816,
2002-06,5853.633,
2002-07,-5439.889,
2002-08,2208.868,
2002-09,12156.234,
2002-10,5356.630,
2002-11,7752.238,
2002-12,-683.914,
2003-01,12954.933,
2003-02,5079.782,
2003-03,19522.488,
2003-04,5236.137,
2003-05,3265.283,
2003-06,15113.350,
2003-07,6833.757,
2003-08,3446.997,
2003-09,4540.010,
2003-10,1459.756,
2003-11,9760.130,
2003-12,-321.281,
2004-01,-3563.384,
2004-02,-8639.796,
2004-03,-924.811,
2004-04,-27132.380,
2004-05,-1745.304,
2004-06,15981.889,
2004-07,1983.306,
2004-08,-5410.250,
2004-09,6113.800,
2004-10,109.235,
2004-11,5397.882,
2004-12,5289.519,
2005-01,-4261.519,
2005-02,13472.160,
2005-03,9250.425,
2005-04,-41192.504,
2005-05,22691.943,
2005-06,35292.254,
2005-07,4953.450,
2005-08,1421.533,
2005-09,21057.471,
2005-10,12509.186,
2005-11,14009.583,
2005-12,5277.818,
2006-01,-6216.880,
2006-02,26898.223,
2006-03,15279.107,
2006-04,-30894.814,
2006-05,20724.865,
2006-06,40548.907,
2006-07,-4054.807,
2006-08,10286.693,
2006-09,13024.149,
2006-10,13985.775,
2006-11,14948.091,
2006-12,21692.314,
2007-01,13255.086,
2007-02,30890.433,
2007-03,4476.114,
2007-04,-23566.530,
2007-05,26222.973,
2007-06,55947.787,
2007-07,4889.738,
