"",BBFN1.M.DE.N.1.L.LY.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LY.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:12,
1994-07,0.049,
1994-08,0.026,
1994-09,0.049,
1994-10,0.039,
1994-11,0.034,
1994-12,0.037,
1995-01,0.029,
1995-02,0.043,
1995-03,0.038,
1995-04,0.040,
1995-05,0.037,
1995-06,0.043,
1995-07,0.030,
1995-08,0.035,
1995-09,0.048,
1995-10,0.043,
1995-11,0.038,
1995-12,0.045,
1996-01,0.027,
1996-02,0.021,
1996-03,0.046,
1996-04,0.027,
1996-05,0.038,
1996-06,0.057,
1996-07,0.057,
1996-08,0.047,
1996-09,0.068,
1996-10,0.049,
1996-11,0.055,
1996-12,0.086,
1997-01,0.042,
1997-02,0.085,
1997-03,0.069,
1997-04,0.060,
1997-05,0.039,
1997-06,0.067,
1997-07,0.054,
1997-08,0.063,
1997-09,0.056,
1997-10,0.042,
1997-11,0.059,
1997-12,0.056,
1998-01,0.065,
1998-02,0.052,
1998-03,0.075,
1998-04,0.063,
1998-05,0.058,
1998-06,0.040,
1998-07,0.060,
1998-08,0.042,
1998-09,0.049,
1998-10,0.047,
1998-11,0.056,
1998-12,0.047,
1999-01,0.043,
1999-02,0.048,
1999-03,0.049,
1999-04,0.072,
1999-05,0.077,
1999-06,0.053,
1999-07,0.115,
1999-08,0.084,
1999-09,0.088,
1999-10,0.089,
1999-11,0.080,
1999-12,0.070,
2000-01,0.092,
2000-02,0.059,
2000-03,0.059,
2000-04,0.081,
2000-05,0.101,
2000-06,0.072,
2000-07,0.095,
2000-08,0.090,
2000-09,0.102,
2000-10,0.098,
2000-11,0.115,
2000-12,0.122,
2001-01,0.091,
2001-02,0.094,
2001-03,0.084,
2001-04,0.078,
2001-05,0.112,
2001-06,0.188,
2001-07,0.212,
2001-08,0.211,
2001-09,0.192,
2001-10,0.202,
2001-11,0.207,
2001-12,0.093,
2002-01,0.089,
2002-02,0.086,
2002-03,0.085,
2002-04,0.094,
2002-05,0.092,
2002-06,0.077,
2002-07,0.095,
2002-08,0.078,
2002-09,0.077,
2002-10,0.072,
2002-11,0.051,
2002-12,0.055,
2003-01,0.065,
2003-02,0.062,
2003-03,0.061,
2003-04,0.059,
2003-05,0.057,
2003-06,0.060,
2003-07,0.068,
2003-08,0.048,
2003-09,0.046,
2003-10,0.049,
2003-11,0.048,
2003-12,0.050,
2004-01,0.052,
2004-02,0.054,
2004-03,0.059,
2004-04,0.057,
2004-05,0.081,
2004-06,0.066,
2004-07,0.046,
2004-08,0.077,
2004-09,0.080,
2004-10,0.130,
2004-11,0.076,
2004-12,0.067,
2005-01,0.048,
2005-02,0.070,
2005-03,0.050,
2005-04,0.076,
2005-05,0.081,
2005-06,0.084,
2005-07,0.068,
2005-08,0.095,
2005-09,0.065,
2005-10,0.124,
2005-11,0.099,
2005-12,0.050,
2006-01,0.090,
2006-02,0.058,
2006-03,0.096,
2006-04,0.098,
2006-05,0.074,
2006-06,0.062,
2006-07,0.052,
2006-08,0.052,
2006-09,0.069,
2006-10,0.055,
2006-11,0.066,
2006-12,0.055,
2007-01,0.084,
2007-02,0.083,
2007-03,0.087,
2007-04,0.085,
2007-05,0.093,
2007-06,0.086,
2007-07,0.079,
2007-08,0.081,
2007-09,0.084,
2007-10,0.077,
2007-11,0.079,
2007-12,0.078,
2008-01,0.102,
2008-02,0.101,
2008-03,0.112,
2008-04,0.105,
2008-05,0.101,
2008-06,0.720,
2008-07,0.385,
2008-08,0.414,
2008-09,0.406,
2008-10,0.457,
2008-11,0.462,
2008-12,0.411,
2009-01,0.459,
2009-02,0.472,
2009-03,0.435,
2009-04,0.440,
2009-05,0.415,
2009-06,0.418,
2009-07,0.429,
2009-08,0.420,
2009-09,0.428,
2009-10,0.407,
2009-11,0.402,
2009-12,0.413,
2010-01,0.422,
2010-02,0.431,
2010-03,0.468,
2010-04,0.455,
2010-05,0.543,
2010-06,0.294,
2010-07,0.262,
2010-08,0.358,
2010-09,0.342,
2010-10,0.359,
2010-11,0.397,
2010-12,0.379,
2011-01,0.368,
2011-02,0.335,
2011-03,0.333,
2011-04,0.302,
2011-05,0.328,
2011-06,0.331,
2011-07,0.322,
2011-08,0.319,
2011-09,0.351,
2011-10,0.330,
2011-11,0.339,
2011-12,0.351,
2012-01,0.357,
2012-02,0.416,
2012-03,0.371,
2012-04,0.325,
2012-05,0.303,
2012-06,0.336,
2012-07,0.146,
2012-08,0.157,
2012-09,0.190,
2012-10,0.177,
2012-11,0.163,
2012-12,0.146,
2013-01,0.222,
2013-02,0.332,
2013-03,0.270,
2013-04,0.231,
2013-05,0.208,
2013-06,0.212,
2013-07,0.144,
2013-08,0.218,
2013-09,0.211,
2013-10,0.186,
2013-11,0.199,
2013-12,0.197,
2014-01,0.231,
2014-02,0.225,
2014-03,0.193,
2014-04,0.236,
2014-05,0.208,
2014-06,0.241,
2014-07,0.212,
2014-08,0.242,
2014-09,0.272,
2014-10,0.191,
2014-11,0.187,
2014-12,0.170,
