"",BBK01.OEAA11U,BBK01.OEAA11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:43,
2002-01,2.631,
2002-04,2.611,
2002-07,2.613,
2002-10,2.619,
2003-01,2.608,
2003-04,2.613,
2003-07,2.554,
2003-10,2.478,
2004-01,2.463,
2004-04,2.346,
2004-07,2.366,
2004-10,2.242,
2005-01,2.302,
2005-04,2.260,
2005-07,2.257,
2005-10,2.121,
2006-01,2.142,
2006-04,2.099,
2006-07,2.049,
2006-10,2.025,
2007-01,2.025,
2007-04,2.157,
2007-07,2.055,
2007-10,1.968,
2008-01,2.087,
2008-04,2.110,
2008-07,1.994,
2008-10,1.974,
2009-01,1.961,
2009-04,1.970,
2009-07,1.905,
2009-10,1.727,
2010-01,1.749,
2010-04,1.804,
2010-07,1.673,
2010-10,1.529,
2011-01,1.637,
2011-04,1.665,
2011-07,1.608,
2011-10,1.521,
2012-01,1.608,
2012-04,1.624,
2012-07,1.590,
2012-10,1.513,
2013-01,1.647,
2013-04,1.618,
2013-07,1.647,
2013-10,1.482,
2014-01,1.608,
2014-04,1.638,
2014-07,1.598,
