"",BBSF2.M.1.S.00000.AKT01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Not defined / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:00,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6297,
1993-05,6847,
1993-06,6984,
1993-07,7282,
1993-08,7645,
1993-09,7660,
1993-10,8368,
1993-11,8457,
1993-12,8998,
1994-01,9235,
1994-02,8921,
1994-03,9025,
1994-04,9719,
1994-05,9415,
1994-06,9119,
1994-07,9558,
1994-08,9772,
1994-09,9399,
1994-10,9531,
1994-11,9464,
1994-12,9601,
1995-01,9401,
1995-02,9624,
1995-03,9213,
1995-04,9615,
1995-05,9944,
1995-06,9933,
1995-07,10314,
1995-08,10482,
1995-09,10278,
1995-10,10119,
1995-11,10378,
1995-12,10648,
1996-01,11694,
1996-02,11724,
1996-03,11886,
1996-04,12224,
1996-05,12544,
1996-06,12715,
1996-07,12550,
1996-08,12832,
1996-09,13338,
1996-10,13598,
1996-11,14469,
1996-12,15643,
1997-01,17031,
1997-02,18460,
1997-03,19248,
1997-04,19513,
1997-05,20551,
1997-06,22332,
1997-07,25199,
1997-08,23495,
1997-09,25906,
1997-10,26629,
1997-11,27643,
1997-12,28807,
1998-01,30287,
1998-02,31714,
1998-03,34690,
1998-04,34674,
1998-05,36675,
1998-06,38035,
1998-07,38914,
1998-08,35009,
1998-09,33103,
1998-10,34275,
1998-11,38392,
1998-12,38535,
1999-01,40531,
1999-02,40294,
1999-03,40891,
1999-04,44277,
1999-05,43038,
1999-06,44764,
1999-07,43515,
1999-08,45037,
1999-09,43477,
1999-10,46100,
1999-11,49843,
1999-12,53395,
2000-01,52762,
2000-02,57279,
2000-03,58150,
2000-04,59769,
2000-05,59855,
2000-06,59616,
2000-07,60853,
2000-08,62573,
2000-09,60410,
2000-10,60486,
2000-11,57826,
2000-12,58830,
2001-01,59555,
2001-02,53859,
2001-03,51771,
2001-04,55331,
2001-05,55642,
2001-06,54398,
2001-07,53358,
2001-08,50904,
2001-09,46398,
2001-10,48285,
2001-11,50368,
2001-12,51543,
2002-01,51840,
2002-02,51298,
2002-03,52752,
2002-04,52870,
2002-05,51683,
2002-06,47382,
2002-07,44563,
2002-08,45340,
2002-09,41964,
2002-10,46382,
2002-11,48049,
2002-12,44298,
2003-01,43116,
2003-02,41771,
2003-03,41416,
2003-04,43108,
2003-05,43592,
2003-06,44050,
2003-07,44596,
2003-08,45330,
2003-09,44719,
2003-10,47810,
2003-11,50053,
2003-12,51945,
2004-01,52010,
2004-02,53759,
2004-03,53549,
2004-04,53251,
2004-05,52466,
2004-06,52151,
2004-07,51950,
2004-08,52613,
2004-09,52421,
2004-10,52585,
2004-11,53328,
2004-12,53361,
2005-01,54293,
2005-02,54891,
2005-03,54665,
2005-04,54279,
2005-05,56938,
2005-06,58972,
2005-07,61014,
2005-08,61069,
2005-09,64281,
2005-10,63819,
2005-11,66703,
2005-12,67347,
2006-01,73616,
2006-02,75780,
2006-03,76536,
2006-04,77030,
2006-05,73113,
2006-06,70097,
2006-07,72256,
2006-08,74115,
2006-09,68325,
2006-10,70006,
2006-11,70621,
2006-12,71343,
2007-01,72649,
2007-02,70277,
2007-03,72595,
2007-04,72881,
2007-05,73051,
2007-06,71432,
2007-07,71521,
2007-08,71733,
2007-09,72148,
2007-10,73835,
2007-11,71841,
2007-12,70847,
2008-01,65893,
2008-02,65142,
2008-03,65139,
2008-04,67086,
2008-05,69673,
2008-06,66937,
2008-07,66142,
2008-08,66664,
2008-09,62372,
2008-10,61110,
2008-11,60265,
2008-12,57034,
2009-01,56748,
2009-02,54261,
2009-03,54151,
2009-04,45865,
2009-05,51742,
2009-06,49556,
2009-07,50438,
2009-08,50218,
2009-09,54638,
2009-10,53206,
2009-11,51969,
2009-12,53338,
2010-01,51899,
2010-02,51972,
2010-03,54396,
2010-04,54897,
2010-05,53577,
2010-06,53346,
2010-07,54642,
2010-08,54340,
2010-09,53896,
2010-10,54690,
2010-11,55013,
2010-12,56074,
2011-01,54901,
2011-02,56181,
2011-03,55680,
2011-04,56513,
2011-05,56868,
2011-06,56138,
2011-07,56259,
2011-08,53230,
2011-09,51581,
2011-10,52344,
2011-11,51666,
2011-12,53019,
2012-01,54684,
2012-02,55510,
2012-03,55510,
2012-04,52458,
2012-05,51752,
2012-06,52376,
2012-07,53698,
2012-08,54660,
2012-09,55283,
2012-10,55647,
2012-11,56693,
2012-12,59250,
2013-01,60463,
2013-02,61323,
2013-03,64253,
2013-04,65469,
2013-05,65883,
2013-06,63606,
2013-07,65605,
2013-08,65354,
2013-09,66945,
2013-10,69114,
2013-11,70288,
2013-12,68789,
2014-01,67737,
2014-02,69581,
2014-03,69431,
2014-04,74792,
2014-05,76645,
2014-06,77065,
2014-07,77891,
2014-08,80218,
2014-09,80000,
2014-10,72426,
2014-11,77129,
