"",BBK01.OEAF12M,BBK01.OEAF12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:29,
2002-01,3.957,
2002-04,3.996,
2002-07,4.095,
2002-10,3.990,
2003-01,3.767,
2003-04,3.753,
2003-07,3.780,
2003-10,3.643,
2004-01,3.391,
2004-04,3.352,
2004-07,3.344,
2004-10,3.199,
2005-01,3.083,
2005-04,3.150,
2005-07,3.274,
2005-10,3.093,
2006-01,2.948,
2006-04,3.064,
2006-07,3.170,
2006-10,2.992,
2007-01,2.950,
2007-04,2.966,
2007-07,2.958,
2007-10,2.899,
2008-01,2.811,
2008-04,2.891,
2008-07,3.133,
2008-10,3.010,
2009-01,2.765,
2009-04,2.832,
2009-07,2.799,
2009-10,2.693,
2010-01,2.499,
2010-04,2.615,
2010-07,2.661,
2010-10,2.615,
2011-01,2.469,
2011-04,2.449,
2011-07,2.532,
2011-10,2.540,
2012-01,2.393,
2012-04,2.381,
2012-07,2.446,
2012-10,2.473,
2013-01,2.380,
2013-04,2.394,
2013-07,2.468,
2013-10,2.491,
2014-01,2.385,
2014-04,2.401,
2014-07,2.456,
