"",BBK01.CELKN0,BBK01.CELKN0_FLAGS
"",Other equity                                            debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:14,
1999-01,5.9,
1999-04,18.0,
1999-07,6.5,
1999-10,6.6,
2000-01,12.8,
2000-04,9.4,
2000-07,13.8,
2000-10,12.5,
2001-01,-4.0,
2001-04,2.9,
2001-07,12.8,
2001-10,3.9,
2002-01,2.9,
2002-04,4.0,
2002-07,6.6,
2002-10,8.0,
2003-01,4.0,
2003-04,3.1,
2003-07,6.3,
2003-10,13.6,
2004-01,-20.6,
2004-04,4.4,
2004-07,2.7,
2004-10,6.3,
2005-01,6.0,
2005-04,9.7,
2005-07,6.0,
2005-10,15.0,
2006-01,3.7,
2006-04,8.0,
2006-07,15.1,
2006-10,33.6,
2007-01,11.6,
2007-04,11.7,
2007-07,21.3,
2007-10,12.0,
2008-01,18.9,
2008-04,16.7,
2008-07,8.5,
2008-10,7.2,
2009-01,17.0,
2009-04,15.3,
2009-07,12.8,
2009-10,-0.1,
2010-01,16.5,
2010-04,6.1,
2010-07,10.3,
2010-10,10.0,
2011-01,11.6,
2011-04,12.2,
2011-07,11.0,
2011-10,2.0,
2012-01,13.7,
2012-04,11.8,
2012-07,14.7,
2012-10,2.7,
2013-01,12.5,
2013-04,3.8,
2013-07,3.3,
2013-10,0.5,
2014-01,9.2,
2014-04,13.5,
2014-07,16.3,
