"",BBK01.OEAH59R,BBK01.OEAH59R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:52,
2002-01,0.486,
2002-04,0.441,
2002-07,0.449,
2002-10,0.447,
2003-01,0.435,
2003-04,0.410,
2003-07,0.418,
2003-10,0.378,
2004-01,0.378,
2004-04,0.373,
2004-07,0.361,
2004-10,0.348,
2005-01,0.436,
2005-04,0.431,
2005-07,0.445,
2005-10,0.435,
2006-01,0.406,
2006-04,0.455,
2006-07,0.452,
2006-10,0.465,
2007-01,0.501,
2007-04,0.519,
2007-07,0.552,
2007-10,0.611,
2008-01,0.646,
2008-04,0.676,
2008-07,0.751,
2008-10,0.817,
2009-01,0.774,
2009-04,0.702,
2009-07,0.601,
2009-10,0.534,
2010-01,0.506,
2010-04,0.487,
2010-07,0.463,
2010-10,0.439,
2011-01,0.431,
2011-04,0.428,
2011-07,0.419,
2011-10,0.458,
2012-01,0.458,
2012-04,0.443,
2012-07,0.429,
2012-10,0.396,
2013-01,0.368,
2013-04,0.362,
2013-07,0.352,
2013-10,0.344,
2014-01,0.332,
2014-04,0.312,
2014-07,0.308,
