"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:29,
1991-01,-0.512,
1991-04,-0.408,
1991-07,1.659,
1991-10,0.227,
1992-01,0.085,
1992-04,-0.619,
1992-07,0.037,
1992-10,-0.191,
1993-01,-0.365,
1993-04,0.048,
1993-07,1.668,
1993-10,0.487,
1994-01,-3.331,
1994-04,0.781,
1994-07,7.126,
1994-10,-0.435,
1995-01,-1.292,
1995-04,-0.164,
1995-07,4.539,
1995-10,0.275,
1996-01,-1.627,
1996-04,0.435,
1996-07,2.482,
1996-10,-0.117,
1997-01,0.455,
1997-04,1.141,
1997-07,7.070,
1997-10,3.757,
1998-01,0.449,
1998-04,3.476,
1998-07,10.110,
1998-10,8.330,
1999-01,0.142,
1999-04,-43.717,
1999-07,5.531,
1999-10,-45.082,
2000-01,19.075,
2000-04,1.337,
2000-07,-0.179,
2000-10,7.281,
2001-01,-168.042,
2001-04,-104.308,
2001-07,-214.203,
2001-10,-16.864,
2002-01,-24.707,
2002-04,17.483,
2002-07,-21.247,
2002-10,-16.843,
2003-01,12.532,
2003-04,-27.042,
2003-07,9.541,
2003-10,6.286,
2004-01,-167.491,
2004-04,99.241,
2004-07,-169.128,
2004-10,-142.263,
2005-01,-41.888,
2005-04,-181.273,
2005-07,4.481,
2005-10,110.526,
2006-01,63.023,
2006-04,44.594,
2006-07,-31.393,
2006-10,70.749,
2007-01,27.953,
2007-04,78.394,
2007-07,9.843,
2007-10,119.941,
2008-01,-169.263,
2008-04,498.532,
2008-07,-141.495,
2008-10,-219.265,
2009-01,33.254,
2009-04,40.842,
2009-07,-120.031,
2009-10,-126.903,
2010-01,-182.670,
2010-04,20.500,
2010-07,-139.630,
2010-10,60.180,
2011-01,12.495,
2011-04,-82.003,
2011-07,-159.379,
2011-10,-75.945,
2012-01,-615.405,
2012-04,-44.912,
2012-07,-69.230,
2012-10,-195.703,
2013-01,-100.663,
2013-04,-148.794,
2013-07,-34.232,
2013-10,-45.477,
2014-01,-0.077,Provisional value
2014-04,-80.579,Provisional value
2014-07,-42.135,Provisional value
2014-10,-60.909,Provisional value
