"",BBK01.OEAC11M,BBK01.OEAC11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:43,
2002-01,19.530,
2002-04,19.690,
2002-07,20.025,
2002-10,20.039,
2003-01,19.885,
2003-04,20.212,
2003-07,21.235,
2003-10,21.199,
2004-01,19.966,
2004-04,19.856,
2004-07,20.210,
2004-10,18.523,
2005-01,18.639,
2005-04,18.542,
2005-07,18.011,
2005-10,18.300,
2006-01,17.958,
2006-04,17.675,
2006-07,16.928,
2006-10,17.082,
2007-01,17.017,
2007-04,16.989,
2007-07,16.916,
2007-10,16.819,
2008-01,16.555,
2008-04,16.622,
2008-07,16.810,
2008-10,16.781,
2009-01,16.729,
2009-04,17.202,
2009-07,17.439,
2009-10,17.203,
2010-01,17.903,
2010-04,18.176,
2010-07,18.483,
2010-10,17.534,
2011-01,17.586,
2011-04,17.504,
2011-07,17.439,
2011-10,17.704,
2012-01,17.635,
2012-04,18.260,
2012-07,18.314,
2012-10,18.432,
2013-01,18.442,
2013-04,18.489,
2013-07,18.633,
2013-10,18.738,
2014-01,18.734,
2014-04,18.823,
2014-07,18.842,
