"",BBEX3.M.LBP.USD.CA.AC.A01,BBEX3.M.LBP.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Lebanon / USD 1 = LBP ... (middle),
unit,LBP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:48,
1979-01,3.1300,
1979-02,3.1550,
1979-03,3.1680,
1979-04,3.2070,
1979-05,3.3150,
1979-06,3.2480,
1979-07,3.2500,
1979-08,3.2535,
1979-09,3.2835,
1979-10,3.3350,
1979-11,3.4300,
1979-12,3.2575,
1980-01,3.2880,
1980-02,3.3325,
1980-03,3.4250,
1980-04,3.4075,
1980-05,3.3975,
1980-06,3.4110,
1980-07,3.4160,
1980-08,3.4290,
1980-09,3.4420,
1980-10,3.5025,
1980-11,3.6210,
1980-12,3.6475,
1981-01,3.8800,
1981-02,3.9985,
1981-03,3.9700,
1981-04,4.0725,
1981-05,4.2250,
1981-06,4.3000,
1981-07,4.4675,
1981-08,4.6800,
1981-09,4.6250,
1981-10,4.5975,
1981-11,4.5970,
1981-12,4.6100,
1982-01,4.7680,
1982-02,4.8950,
1982-03,4.9400,
1982-04,4.9425,
1982-05,4.9800,
1982-06,5.1425,
1982-07,5.1500,
1982-08,4.7000,
1982-09,4.2000,
1982-10,4.2470,
1982-11,4.0450,
1982-12,3.8098,
1983-01,3.9500,
1983-02,4.0450,
1983-03,4.1650,
1983-04,4.1600,
1983-05,4.2650,
1983-06,4.2400,
1983-07,4.6000,
1983-08,4.7800,
1983-09,4.8450,
1983-10,5.1150,
1983-11,5.2700,
1983-12,5.5000,
1984-01,5.8350,
1984-02,5.8750,
1984-03,5.4150,
1984-04,5.7400,
1984-05,5.8925,
1984-06,6.0050,
1984-07,6.0300,
1984-08,6.6450,
1984-09,7.2700,
1984-10,7.6000,
1984-11,7.8700,
1984-12,8.8900,
1985-01,11.7200,
1985-02,16.0000,
1985-03,17.6500,
1985-04,17.2400,
1985-05,15.9200,
1985-06,15.6500,
1985-07,15.7050,
1985-08,18.3850,
1985-09,18.5500,
1985-10,16.7800,
1985-11,17.2000,
1985-12,18.1000,
1986-01,24.2500,
1986-02,19.4500,
1986-03,22.5200,
1986-04,25.8000,
1986-05,32.4000,
1986-06,42.0000,
1986-07,45.5000,
1986-08,40.5000,
1986-09,44.9000,
1986-10,51.4250,
1986-11,66.3500,
1986-12,87.0000,
1987-01,87.4250,
1987-02,87.2500,
1987-03,112.7500,
1987-04,118.0000,
1987-05,122.0000,
1987-06,142.3750,
1987-07,181.5000,
1987-08,269.0000,
1987-09,289.5000,
1987-10,500.0000,
1987-11,520.0000,
1987-12,455.0000,
1988-01,430.0000,
1988-02,370.0000,
1988-03,363.5000,
1988-04,365.5000,
1988-05,363.0000,
1988-06,353.0000,
1988-07,350.5000,
1988-08,430.0000,
1988-09,415.0000,
1988-10,485.0000,
1988-11,500.0000,
1988-12,530.0000,
1989-01,520.0000,
1989-02,463.0000,
1989-03,495.0000,
1989-04,510.0000,
1989-05,508.0000,
1989-06,510.2500,
1989-07,515.0000,
1989-08,535.0000,
1989-09,468.0000,
1989-10,431.0000,
1989-11,447.0000,
1989-12,505.0000,
1990-01,547.5000,
1990-02,556.2500,
1990-03,571.0000,
1990-04,605.0000,
1990-05,629.5000,
1990-06,664.0000,
1990-07,668.5000,
1990-08,995.0000,
1990-09,930.0000,
1990-10,685.0000,
1990-11,700.0000,
1990-12,842.0000,
1991-01,1110.0000,
1991-02,1060.0000,
1991-03,938.0000,
1991-04,932.0000,
1991-05,915.0000,
1991-06,904.5000,
1991-07,893.0000,
1991-08,893.0000,
1991-09,891.5000,
1991-10,883.5000,
1991-11,879.5000,
1991-12,879.0000,
1992-01,879.0000,
1992-02,1070.0000,
1992-03,1280.0000,
1992-04,1600.0000,
1992-05,1680.0000,
1992-06,1705.0000,
1992-07,2165.0000,
1992-08,2390.0000,
1992-09,2420.0000,
1992-10,1965.0000,
1992-11,1874.0000,
1992-12,1838.0000,
1993-01,1825.0000,
1993-02,1742.0000,
1993-03,1742.0000,
1993-04,1741.0000,
1993-05,1733.0000,
1993-06,1731.0000,
1993-07,1729.5000,
1993-08,1725.5000,
1993-09,1723.5000,
1993-10,1719.0000,
1993-11,1715.5000,
1993-12,1711.0000,
1994-01,1706.0000,
1994-02,1700.5000,
1994-03,1694.5000,
1994-04,1690.5000,
1994-05,1684.0000,
1994-06,1680.0000,
1994-07,1676.5000,
1994-08,1671.0000,
1994-09,1666.0000,
1994-10,1661.0000,
1994-11,1656.0000,
1994-12,1647.0000,
1995-01,1643.0000,
1995-02,1639.0000,
1995-03,1634.5000,
1995-04,1631.5000,
1995-05,1624.5000,
1995-06,1620.5000,
1995-07,1616.5000,
1995-08,1613.5000,
1995-09,1610.5000,
1995-10,1604.5000,
1995-11,1599.0000,
1995-12,1596.0000,
1996-01,1591.5000,
1996-02,1588.0000,
1996-03,1583.5000,
1996-04,1580.0000,
1996-05,1575.0000,
1996-06,1571.0000,
1996-07,1566.5000,
1996-08,1562.0000,
1996-09,1558.5000,
1996-10,1556.0000,
1996-11,1554.0000,
1996-12,1552.0000,
1997-01,1549.7500,
1997-02,1547.7500,
1997-03,1545.7500,
1997-04,1543.5000,
1997-05,1541.7500,
1997-06,1539.7500,
1997-07,1537.5000,
1997-08,1535.5000,
1997-09,1533.2500,
1997-10,1531.0000,
1997-11,1529.0000,
1997-12,1527.0000,
1998-01,1525.5000,
1998-02,1523.5000,
1998-03,1521.2500,
1998-04,1520.2500,
1998-05,1518.5000,
1998-06,1516.2500,
1998-07,1514.0000,
1998-08,1512.0000,
1998-09,1509.7500,
1998-10,1508.5000,
1998-11,1508.5000,
1998-12,1508.0000,
1999-01,1508.0000,
1999-02,1508.0000,
1999-03,1508.0000,
