"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F5___ES._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Equity in the narrower sense / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:19,
1991-01,-538.173,
1991-02,232.300,
1991-03,247.516,
1991-04,371.497,
1991-05,-27.683,
1991-06,203.799,
1991-07,-508.025,
1991-08,393.678,
1991-09,-85.314,
1991-10,123.449,
1991-11,1041.174,
1991-12,-323.260,
1992-01,213.080,
1992-02,155.815,
1992-03,235.085,
1992-04,126.537,
1992-05,-41.700,
1992-06,-62.987,
1992-07,273.461,
1992-08,200.894,
1992-09,-115.223,
1992-10,500.635,
1992-11,426.740,
1992-12,-534.112,
1993-01,88.438,
1993-02,360.199,
1993-03,539.511,
1993-04,340.440,
1993-05,125.144,
1993-06,455.870,
1993-07,161.044,
1993-08,260.729,
1993-09,-330.613,
1993-10,484.301,
1993-11,82.914,
1993-12,1621.582,
1994-01,-260.166,
1994-02,-35.556,
1994-03,443.757,
1994-04,233.986,
1994-05,35.635,
1994-06,420.102,
1994-07,70.169,
1994-08,621.096,
1994-09,351.420,
1994-10,300.797,
1994-11,566.992,
1994-12,1572.788,
1995-01,761.255,
1995-02,1029.793,
1995-03,-25.517,
1995-04,218.176,
1995-05,306.730,
1995-06,548.025,
1995-07,419.668,
1995-08,-60.999,
1995-09,895.505,
1995-10,1292.559,
1995-11,112.863,
1995-12,1803.555,
1996-01,445.117,
1996-02,482.194,
1996-03,364.790,
1996-04,601.991,
1996-05,211.742,
1996-06,0.752,
1996-07,453.619,
1996-08,297.845,
1996-09,-250.977,
1996-10,-511.649,
1996-11,423.445,
1996-12,2042.957,
1997-01,446.073,
1997-02,645.684,
1997-03,-881.759,
1997-04,346.261,
1997-05,247.600,
1997-06,396.894,
1997-07,1892.540,
1997-08,455.638,
1997-09,575.771,
1997-10,978.576,
1997-11,222.878,
1997-12,821.096,
1998-01,15.184,
1998-02,1900.121,
1998-03,-28.343,
1998-04,245.610,
1998-05,55.599,
1998-06,2649.702,
1998-07,-405.111,
1998-08,730.595,
1998-09,298.753,
1998-10,999.187,
1998-11,1000.483,
1998-12,-791.211,
1999-01,355.942,
1999-02,129.764,
1999-03,3213.380,
1999-04,152.664,
1999-05,519.946,
1999-06,-333.190,
1999-07,510.755,
1999-08,302.275,
1999-09,1624.182,
1999-10,-1009.448,
1999-11,-1276.969,
1999-12,20190.353,
2000-01,3040.829,
2000-02,138325.803,
2000-03,12308.660,
2000-04,2189.841,
2000-05,-2575.622,
2000-06,14033.710,
2000-07,4611.794,
