"",BBK01.OECK01U,BBK01.OECK01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:41,
2002-01,0.249,
2002-04,0.254,
2002-07,0.255,
2002-10,0.260,
2003-01,0.263,
2003-04,0.258,
2003-07,0.264,
2003-10,0.253,
2004-01,0.257,
2004-04,0.263,
2004-07,0.259,
2004-10,0.263,
2005-01,0.279,
2005-04,0.278,
2005-07,0.284,
2005-10,0.288,
2006-01,0.293,
2006-04,0.294,
2006-07,0.297,
2006-10,0.290,
2007-01,0.293,
2007-04,0.307,
2007-07,0.319,
2007-10,0.335,
2008-01,0.344,
2008-04,0.359,
2008-07,0.370,
2008-10,0.400,
2009-01,0.385,
2009-04,0.361,
2009-07,0.361,
2009-10,0.356,
2010-01,0.339,
2010-04,0.341,
2010-07,0.345,
2010-10,0.357,
2011-01,0.344,
2011-04,0.350,
2011-07,0.349,
2011-10,0.361,
2012-01,0.358,
2012-04,0.363,
2012-07,0.368,
2012-10,0.360,
2013-01,0.354,
2013-04,0.359,
2013-07,0.369,
2013-10,0.367,
2014-01,0.356,
2014-04,0.368,
2014-07,0.376,
