"",BBDA1.M.DE.N.EX.S.A.G4.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.G4.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Other European countries (not EU ) / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:32,
1993-01,2249962,
1993-02,2396752,
1993-03,2671485,
1993-04,2526936,
1993-05,2486688,
1993-06,2652085,
1993-07,2478658,
1993-08,2538325,
1993-09,2680494,
1993-10,2904503,
1993-11,2802863,
1993-12,3360395,
1994-01,2432340,
1994-02,2495138,
1994-03,2696468,
1994-04,2600181,
1994-05,2768242,
1994-06,2943108,
1994-07,2425747,
1994-08,2820815,
1994-09,2605103,
1994-10,2833280,
1994-11,2933619,
1994-12,3054563,
1995-01,2520768,
1995-02,2753122,
1995-03,3097775,
1995-04,3009808,
1995-05,2995971,
1995-06,2878639,
1995-07,2818549,
1995-08,2873494,
1995-09,3013068,
1995-10,3080535,
1995-11,3347820,
1995-12,3261968,
1996-01,2659623,
1996-02,2997955,
1996-03,3101850,
1996-04,2980119,
1996-05,3195002,
1996-06,3001012,
1996-07,3414330,
1996-08,2791399,
1996-09,3092454,
1996-10,3526582,
1996-11,3524175,
1996-12,2952798,
1997-01,2939536,
1997-02,3146177,
1997-03,3266604,
1997-04,3683488,
1997-05,3243215,
1997-06,3808231,
1997-07,3874546,
1997-08,3326493,
1997-09,4138305,
1997-10,4287790,
1997-11,3960034,
1997-12,3948900,
1998-01,3391125,
1998-02,3615272,
1998-03,4259237,
1998-04,3885533,
1998-05,3917053,
1998-06,3791459,
1998-07,4133856,
1998-08,3443802,
1998-09,3436434,
1998-10,3473797,
1998-11,3869844,
1998-12,3435427,
1999-01,2605809,
1999-02,3225644,
1999-03,3680947,
1999-04,3233462,
1999-05,2981579,
1999-06,3562324,
1999-07,3773399,
1999-08,2913941,
1999-09,3522986,
1999-10,3685216,
1999-11,3944836,
1999-12,3908335,
2000-01,3006573,
2000-02,3716824,
2000-03,4193972,
2000-04,3467197,
2000-05,4225492,
2000-06,4089554,
2000-07,4178633,
2000-08,4178931,
2000-09,4259568,
2000-10,4891995,
2000-11,4727855,
2000-12,4321162,
2001-01,3812260,
2001-02,4223375,
2001-03,4731119,
2001-04,4029799,
2001-05,4640898,
2001-06,4743171,
2001-07,4696342,
2001-08,4741401,
2001-09,4141255,
2001-10,5016716,
2001-11,4760918,
