"",BBK01.OELB08K,BBK01.OELB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:48,
2002-01,2.726,
2002-04,2.775,
2002-07,2.787,
2002-10,2.777,
2003-01,2.767,
2003-04,2.781,
2003-07,2.812,
2003-10,2.864,
2004-01,2.886,
2004-04,2.961,
2004-07,2.991,
2004-10,3.284,
2005-01,3.257,
2005-04,3.285,
2005-07,3.323,
2005-10,3.403,
2006-01,3.417,
2006-04,3.442,
2006-07,3.469,
2006-10,3.354,
2007-01,3.351,
2007-04,3.387,
2007-07,3.376,
2007-10,3.386,
2008-01,3.389,
2008-04,3.407,
2008-07,3.433,
2008-10,3.467,
2009-01,3.463,
2009-04,3.513,
2009-07,3.578,
2009-10,3.620,
2010-01,3.636,
2010-04,3.889,
2010-07,3.947,
2010-10,3.967,
2011-01,4.036,
2011-04,4.127,
2011-07,4.208,
2011-10,4.294,
2012-01,4.336,
2012-04,5.357,
2012-07,5.413,
2012-10,5.502,
2013-01,5.648,
2013-04,5.692,
2013-07,5.802,
2013-10,5.835,
2014-01,6.091,
2014-04,6.161,
2014-07,6.267,
