"",BBEX3.M.THB.USD.CA.AB.A01,BBEX3.M.THB.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (selling),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:19,
1990-01,25.7600,
1990-02,25.8500,
1990-03,26.0300,
1990-04,26.0600,
1990-05,25.8900,
1990-06,25.8400,
1990-07,25.6700,
1990-08,25.5300,
1990-09,25.3900,
1990-10,25.1400,
1990-11,25.2300,
1990-12,25.3400,
1991-01,25.2000,
1991-02,25.2900,
1991-03,25.7000,
1991-04,25.7000,
1991-05,25.6800,
1991-06,25.7600,
1991-07,25.8000,
1991-08,25.7700,
1991-09,25.5900,
1991-10,25.6200,
1991-11,25.5300,
1991-12,25.3300,
1992-01,25.4500,
1992-02,25.5500,
1992-03,25.6500,
1992-04,25.6800,
1992-05,25.5300,
1992-06,25.3400,
1992-07,25.3600,
1992-08,25.1800,
1992-09,25.1400,
1992-10,25.4200,
1992-11,25.5600,
1992-12,25.5700,
1993-01,25.5400,
1993-02,25.4800,
1993-03,25.4100,
1993-04,25.2500,
1993-05,25.1800,
1993-06,25.3000,
1993-07,25.3400,
1993-08,25.2200,
1993-09,25.2500,
1993-10,25.3900,
1993-11,25.4700,
1993-12,25.5900,
1994-01,25.5300,
1994-02,25.3400,
1994-03,25.2800,
1994-04,25.2100,
1994-05,25.2500,
1994-06,25.0400,
1994-07,25.0800,
1994-08,25.0700,
1994-09,25.0200,
1994-10,24.9700,
1994-11,25.1000,
1994-12,25.1400,
1995-01,25.0700,
1995-02,25.0000,
1995-03,24.7900,
1995-04,24.6300,
1995-05,24.6800,
1995-06,24.7100,
1995-07,24.8000,
1995-08,25.1400,
1995-09,25.1500,
1995-10,25.1900,
1995-11,25.2100,
1995-12,25.2400,
1996-01,25.4000,
1996-02,25.2300,
1996-03,25.2800,
1996-04,25.2800,
1996-05,25.3900,
1996-06,25.4100,
1996-07,25.3200,
1996-08,25.3400,
1996-09,25.4700,
1996-10,25.5400,
1996-11,25.5600,
1996-12,25.6600,
1997-01,25.9200,
1997-02,25.9400,
1997-03,26.0200,
1997-04,26.1500,
1997-05,25.8500,
1997-06,25.8400,
1997-07,31.8275,comment
1997-08,34.3215,
1997-09,36.6170,
1997-10,39.8648,
1997-11,40.2372,
1997-12,47.5560,
1998-01,55.0427,
1998-02,43.0993,
1998-03,38.4513,
1998-04,38.9533,
1998-05,40.4204,
1998-06,42.5897,
1998-07,41.0477,
1998-08,42.1667,
1998-09,39.4737,
1998-10,36.9316,
1998-11,36.2448,
1998-12,36.8900,
1999-01,36.9985,
