"",BBDE1.M.DE.Y.GUA1.A2P340000.F.V.I10.A,BBDE1.M.DE.Y.GUA1.A2P340000.F.V.I10.A_FLAGS
"",Turnover / At current prices / Germany / Non-durable goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:49,
1991-01,89.2,
1991-02,86.4,
1991-03,87.6,
1991-04,88.1,
1991-05,88.2,
1991-06,87.6,
1991-07,87.1,
1991-08,86.0,
1991-09,87.1,
1991-10,90.2,
1991-11,89.4,
1991-12,87.8,
1992-01,90.8,
1992-02,89.2,
1992-03,87.3,
1992-04,89.4,
1992-05,88.1,
1992-06,89.2,
1992-07,88.1,
1992-08,87.6,
1992-09,87.5,
1992-10,87.5,
1992-11,87.0,
1992-12,88.2,
1993-01,87.7,
1993-02,86.0,
1993-03,86.1,
1993-04,86.9,
1993-05,85.1,
1993-06,87.4,
1993-07,85.4,
1993-08,85.5,
1993-09,86.1,
1993-10,84.5,
1993-11,86.7,
1993-12,86.9,
1994-01,86.2,
1994-02,85.8,
1994-03,86.5,
1994-04,84.5,
1994-05,85.6,
1994-06,86.1,
1994-07,86.3,
1994-08,86.4,
1994-09,86.1,
1994-10,87.7,
1994-11,88.9,
1994-12,86.5,
1995-01,84.9,
1995-02,87.8,
1995-03,87.3,
1995-04,87.0,
1995-05,87.0,
1995-06,87.4,
1995-07,86.3,
1995-08,87.2,
1995-09,86.5,
1995-10,88.1,
1995-11,86.7,
1995-12,86.0,
1996-01,85.2,
1996-02,86.7,
1996-03,87.0,
1996-04,87.3,
1996-05,87.6,
1996-06,86.9,
1996-07,86.5,
1996-08,86.7,
1996-09,86.3,
1996-10,87.2,
1996-11,86.7,
1996-12,86.8,
1997-01,87.8,
1997-02,87.7,
1997-03,89.0,
1997-04,87.2,
1997-05,87.7,
1997-06,87.0,
1997-07,88.2,
1997-08,87.4,
1997-09,88.2,
1997-10,88.6,
1997-11,86.6,
1997-12,89.6,
1998-01,89.7,
1998-02,89.2,
1998-03,88.6,
1998-04,89.6,
1998-05,88.9,
1998-06,88.9,
1998-07,88.3,
1998-08,87.5,
1998-09,86.8,
1998-10,85.8,
1998-11,85.5,
1998-12,88.5,
1999-01,87.9,
1999-02,86.0,
1999-03,88.9,
1999-04,85.0,
1999-05,88.2,
1999-06,87.5,
1999-07,88.3,
1999-08,88.3,
1999-09,89.6,
1999-10,87.3,
1999-11,90.0,
1999-12,89.5,
2000-01,85.0,
2000-02,89.7,
2000-03,88.5,
2000-04,90.3,
2000-05,90.5,
2000-06,91.7,
2000-07,90.0,
2000-08,90.8,
2000-09,91.0,
2000-10,91.9,
2000-11,92.1,
2000-12,90.0,
2001-01,91.2,
2001-02,93.0,
2001-03,91.8,
2001-04,94.0,
2001-05,94.0,
2001-06,94.9,
2001-07,93.7,
2001-08,95.0,
2001-09,92.2,
2001-10,94.1,
2001-11,93.6,
2001-12,92.1,
2002-01,94.9,
2002-02,94.0,
2002-03,94.5,
2002-04,92.4,
2002-05,94.5,
2002-06,92.0,
2002-07,92.8,
2002-08,93.1,
2002-09,92.3,
2002-10,92.3,
2002-11,92.6,
2002-12,91.5,
2003-01,94.1,
2003-02,91.6,
2003-03,91.2,
2003-04,95.5,
2003-05,90.8,
2003-06,94.1,
2003-07,93.3,
2003-08,91.9,
2003-09,92.8,
2003-10,93.8,
2003-11,91.2,
2003-12,94.3,
2004-01,93.7,
2004-02,93.1,
2004-03,93.7,
2004-04,94.5,
2004-05,91.0,
2004-06,94.2,
2004-07,94.8,
2004-08,93.5,
2004-09,94.6,
2004-10,93.9,
2004-11,95.5,
2004-12,96.3,
2005-01,94.9,
2005-02,96.3,
2005-03,98.2,
2005-04,93.7,
2005-05,97.5,
2005-06,97.2,
2005-07,97.7,
2005-08,97.9,
2005-09,98.4,
2005-10,98.0,
2005-11,98.6,
2005-12,97.7,
2006-01,97.6,
2006-02,100.3,
2006-03,98.2,
2006-04,100.4,
2006-05,100.6,
2006-06,101.6,
2006-07,101.4,
2006-08,101.9,
2006-09,102.9,
2006-10,102.6,
2006-11,103.6,
2006-12,101.1,
2007-01,103.8,
2007-02,105.1,
2007-03,105.4,
2007-04,104.7,
2007-05,107.8,
2007-06,104.9,
2007-07,105.2,
2007-08,106.9,
2007-09,107.4,
2007-10,109.3,
2007-11,108.7,
2007-12,107.8,
2008-01,111.0,
2008-02,109.3,
2008-03,108.8,
2008-04,106.6,
2008-05,107.4,
2008-06,104.7,
2008-07,106.6,
2008-08,107.6,
2008-09,107.7,
2008-10,108.3,
2008-11,103.6,
2008-12,107.7,
2009-01,100.6,
2009-02,98.8,
2009-03,97.8,
2009-04,101.4,
2009-05,98.4,
2009-06,98.5,
2009-07,98.5,
2009-08,98.9,
2009-09,98.4,
2009-10,96.9,
2009-11,98.6,
2009-12,101.6,
2010-01,98.2,
2010-02,96.7,
2010-03,99.9,
2010-04,97.6,
2010-05,99.1,
2010-06,100.4,
2010-07,100.3,
2010-08,100.1,
2010-09,100.4,
2010-10,99.1,
2010-11,101.1,
2010-12,102.0,
2011-01,100.1,
2011-02,103.7,
2011-03,105.3,
2011-04,107.7,
2011-05,104.4,
2011-06,108.3,
2011-07,105.6,
2011-08,106.4,
2011-09,106.5,
2011-10,106.4,
2011-11,107.3,
2011-12,106.6,
2012-01,105.0,
2012-02,107.6,
2012-03,109.5,
2012-04,105.8,
2012-05,109.8,
2012-06,108.5,
2012-07,107.1,
2012-08,108.5,
2012-09,108.0,
2012-10,110.8,
2012-11,110.8,
2012-12,110.9,
2013-01,109.9,
2013-02,108.7,
2013-03,108.4,
2013-04,107.5,
2013-05,112.1,
2013-06,106.9,
2013-07,110.5,
2013-08,110.3,
2013-09,110.5,
2013-10,111.7,
2013-11,112.3,
2013-12,112.8,
2014-01,113.2,
2014-02,111.1,
2014-03,110.5,
2014-04,114.9,
2014-05,110.6,
2014-06,112.3,
2014-07,112.4,
2014-08,110.4,
2014-09,111.0,
2014-10,110.1,
2014-11,108.3,
2014-12,111.9,Provisional value
