"",BBK01.OEAD37O,BBK01.OEAD37O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:54,
2002-01,0.279,
2002-04,0.278,
2002-07,0.267,
2002-10,0.264,
2003-01,0.251,
2003-04,0.245,
2003-07,0.213,
2003-10,0.218,
2004-01,0.212,
2004-04,0.208,
2004-07,0.207,
2004-10,0.211,
2005-01,0.209,
2005-04,0.208,
2005-07,0.210,
2005-10,0.208,
2006-01,0.206,
2006-04,0.212,
2006-07,0.213,
2006-10,0.244,
2007-01,0.255,
2007-04,0.258,
2007-07,0.281,
2007-10,0.284,
2008-01,0.274,
2008-04,0.270,
2008-07,0.245,
2008-10,0.190,
2009-01,0.178,
2009-04,0.186,
2009-07,0.172,
2009-10,0.173,
2010-01,0.184,
2010-04,0.207,
2010-07,0.211,
2010-10,0.223,
2011-01,0.219,
2011-04,0.257,
2011-07,0.264,
2011-10,0.263,
2012-01,0.270,
2012-04,0.225,
2012-07,0.213,
2012-10,0.215,
2013-01,0.210,
2013-04,0.211,
2013-07,0.206,
2013-10,0.213,
2014-01,0.202,
2014-04,0.208,
2014-07,0.205,
