"",BBK01.OEBB21M,BBK01.OEBB21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:33,
2002-01,0.408,
2002-04,0.481,
2002-07,0.401,
2002-10,0.602,
2003-01,0.429,
2003-04,0.422,
2003-07,0.395,
2003-10,0.358,
2004-01,0.402,
2004-04,0.422,
2004-07,0.403,
2004-10,0.401,
2005-01,0.752,
2005-04,0.806,
2005-07,0.799,
2005-10,0.813,
2006-01,0.851,
2006-04,0.765,
2006-07,0.744,
2006-10,0.550,
2007-01,0.580,
2007-04,0.612,
2007-07,0.603,
2007-10,0.843,
2008-01,0.844,
2008-04,0.820,
2008-07,0.738,
2008-10,0.614,
2009-01,0.589,
2009-04,0.766,
2009-07,0.756,
2009-10,0.611,
2010-01,0.654,
2010-04,0.633,
2010-07,0.656,
2010-10,0.624,
2011-01,1.444,
2011-04,1.415,
2011-07,1.399,
2011-10,1.166,
2012-01,1.203,
2012-04,1.215,
2012-07,1.264,
2012-10,1.038,
2013-01,1.488,
2013-04,1.497,
2013-07,1.172,
2013-10,1.404,
2014-01,1.486,
2014-04,1.538,
2014-07,1.385,
