"",BBK01.OEHJ02O,BBK01.OEHJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:21,
2002-01,1.229,
2002-04,1.301,
2002-07,1.381,
2002-10,1.661,
2003-01,1.436,
2003-04,1.457,
2003-07,1.531,
2003-10,1.901,
2004-01,1.600,
2004-04,1.642,
2004-07,1.827,
2004-10,2.005,
2005-01,1.728,
2005-04,1.788,
2005-07,1.975,
2005-10,2.048,
2006-01,1.808,
2006-04,2.321,
2006-07,1.909,
2006-10,2.247,
2007-01,1.911,
2007-04,2.554,
2007-07,2.595,
2007-10,2.031,
2008-01,2.436,
2008-04,2.502,
2008-07,2.606,
2008-10,2.384,
2009-01,2.787,
2009-04,3.058,
2009-07,3.482,
2009-10,3.088,
2010-01,3.484,
2010-04,3.633,
2010-07,3.830,
2010-10,3.216,
2011-01,3.617,
2011-04,3.559,
2011-07,3.832,
2011-10,3.375,
2012-01,3.791,
2012-04,3.899,
2012-07,4.369,
2012-10,3.666,
2013-01,3.410,
2013-04,3.685,
2013-07,3.845,
2013-10,4.251,
2014-01,3.866,
2014-04,3.862,
2014-07,4.231,
