"",BBDE1.M.DE.Y.BAA1.N2C220000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C220000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 22 Manufacture of rubber and plastic products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:53,
1991-01,81.9,
1991-02,80.3,
1991-03,79.4,
1991-04,79.0,
1991-05,78.6,
1991-06,80.0,
1991-07,78.0,
1991-08,79.0,
1991-09,76.4,
1991-10,78.1,
1991-11,79.5,
1991-12,79.3,
1992-01,80.6,
1992-02,80.6,
1992-03,80.9,
1992-04,79.5,
1992-05,78.8,
1992-06,78.4,
1992-07,76.5,
1992-08,78.3,
1992-09,73.2,
1992-10,74.8,
1992-11,74.1,
1992-12,72.8,
1993-01,73.2,
1993-02,71.4,
1993-03,71.0,
1993-04,71.2,
1993-05,70.5,
1993-06,70.8,
1993-07,71.1,
1993-08,69.3,
1993-09,70.9,
1993-10,70.6,
1993-11,73.4,
1993-12,71.5,
1994-01,71.9,
1994-02,72.5,
1994-03,72.3,
1994-04,74.8,
1994-05,74.2,
1994-06,74.2,
1994-07,75.6,
1994-08,74.9,
1994-09,76.6,
1994-10,79.0,
1994-11,81.9,
1994-12,85.5,
1995-01,72.3,
1995-02,79.1,
1995-03,82.9,
1995-04,79.8,
1995-05,76.3,
1995-06,74.9,
1995-07,75.2,
1995-08,73.7,
1995-09,79.4,
1995-10,75.3,
1995-11,73.7,
1995-12,75.1,
1996-01,75.6,
1996-02,73.1,
1996-03,74.0,
1996-04,72.4,
1996-05,76.7,
1996-06,76.7,
1996-07,76.6,
1996-08,76.9,
1996-09,76.9,
1996-10,77.7,
1996-11,76.7,
1996-12,76.0,
1997-01,76.2,
1997-02,76.7,
1997-03,78.6,
1997-04,78.6,
1997-05,77.4,
1997-06,80.8,
1997-07,81.4,
1997-08,80.4,
1997-09,80.7,
1997-10,81.9,
1997-11,81.7,
1997-12,83.9,
1998-01,83.0,
1998-02,83.4,
1998-03,84.4,
1998-04,79.8,
1998-05,85.3,
1998-06,84.5,
1998-07,85.1,
1998-08,84.0,
1998-09,82.1,
1998-10,81.7,
1998-11,81.9,
1998-12,84.2,
1999-01,83.9,
1999-02,81.4,
1999-03,81.7,
1999-04,82.2,
1999-05,82.9,
1999-06,83.6,
1999-07,85.4,
1999-08,85.5,
1999-09,85.7,
1999-10,86.2,
1999-11,87.4,
1999-12,87.5,
2000-01,85.3,
2000-02,86.3,
2000-03,86.8,
2000-04,87.2,
2000-05,89.8,
2000-06,87.3,
2000-07,89.8,
2000-08,89.5,
2000-09,88.8,
2000-10,88.6,
2000-11,89.3,
2000-12,88.6,
2001-01,88.7,
2001-02,88.7,
2001-03,89.0,
2001-04,86.4,
2001-05,87.1,
2001-06,88.4,
2001-07,85.8,
2001-08,89.0,
2001-09,88.7,
2001-10,86.4,
2001-11,85.9,
2001-12,85.2,
2002-01,86.1,
2002-02,87.7,
2002-03,88.1,
2002-04,89.3,
2002-05,88.4,
2002-06,88.6,
2002-07,86.8,
2002-08,90.5,
2002-09,90.0,
2002-10,89.6,
2002-11,90.0,
2002-12,89.1,
2003-01,88.8,
2003-02,88.0,
2003-03,90.0,
2003-04,89.1,
2003-05,88.5,
2003-06,88.3,
2003-07,90.4,
2003-08,89.3,
2003-09,89.3,
2003-10,91.7,
2003-11,92.9,
2003-12,92.8,
2004-01,92.9,
2004-02,92.9,
2004-03,92.7,
2004-04,93.4,
2004-05,93.6,
2004-06,93.4,
2004-07,92.9,
2004-08,91.6,
2004-09,91.1,
2004-10,90.5,
2004-11,90.9,
2004-12,90.6,
2005-01,93.0,
2005-02,91.2,
2005-03,90.0,
2005-04,92.8,
2005-05,91.4,
2005-06,93.1,
2005-07,94.5,
2005-08,91.5,
2005-09,94.4,
2005-10,95.1,
2005-11,94.0,
2005-12,93.4,
2006-01,94.5,
2006-02,95.3,
2006-03,93.0,
2006-04,95.9,
2006-05,97.3,
2006-06,98.2,
2006-07,100.0,
2006-08,100.2,
2006-09,100.5,
2006-10,97.8,
2006-11,100.2,
2006-12,92.5,
2007-01,103.0,
2007-02,103.5,
2007-03,103.0,
2007-04,101.7,
2007-05,103.2,
2007-06,103.5,
2007-07,103.5,
2007-08,103.8,
2007-09,103.8,
2007-10,104.2,
2007-11,103.0,
2007-12,104.7,
2008-01,103.8,
2008-02,105.1,
2008-03,105.3,
2008-04,105.0,
2008-05,102.4,
2008-06,103.1,
2008-07,101.2,
2008-08,103.2,
2008-09,98.9,
2008-10,95.1,
2008-11,91.6,
2008-12,83.3,
2009-01,83.6,
2009-02,81.0,
2009-03,82.7,
2009-04,81.9,
2009-05,85.0,
2009-06,89.5,
2009-07,89.1,
2009-08,91.5,
2009-09,94.3,
2009-10,91.8,
2009-11,93.7,
2009-12,94.0,
2010-01,94.2,
2010-02,94.0,
2010-03,96.0,
2010-04,98.2,
2010-05,100.7,
2010-06,99.5,
2010-07,99.6,
2010-08,101.5,
2010-09,101.1,
2010-10,102.6,
2010-11,103.3,
2010-12,103.1,
2011-01,104.2,
2011-02,104.9,
2011-03,106.1,
2011-04,105.6,
2011-05,106.8,
2011-06,105.1,
2011-07,107.3,
2011-08,106.0,
2011-09,104.8,
2011-10,105.4,
2011-11,105.3,
2011-12,103.6,
2012-01,105.8,
2012-02,104.5,
2012-03,105.9,
2012-04,102.9,
2012-05,104.3,
2012-06,103.5,
2012-07,105.5,
2012-08,104.1,
2012-09,103.0,
2012-10,102.2,
2012-11,101.8,
2012-12,101.0,
2013-01,102.1,
2013-02,103.2,
2013-03,102.9,
2013-04,105.3,
2013-05,103.9,
2013-06,107.0,
2013-07,105.7,
2013-08,106.4,
2013-09,107.6,
2013-10,107.3,
2013-11,108.0,
2013-12,108.7,
2014-01,108.7,
2014-02,109.3,
2014-03,109.4,
2014-04,109.0,
2014-05,106.9,
2014-06,108.3,
2014-07,108.1,
2014-08,101.6,
2014-09,102.4,
2014-10,104.4,Provisional value
2014-11,105.0,Provisional value
2014-12,109.7,Provisional value
