"",BBK01.OEAH91Q,BBK01.OEAH91Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:30,
2002-01,1.482,
2002-04,1.446,
2002-07,1.532,
2002-10,1.528,
2003-01,1.546,
2003-04,1.950,
2003-07,1.944,
2003-10,1.948,
2004-01,2.030,
2004-04,2.164,
2004-07,1.922,
2004-10,2.174,
2005-01,2.162,
2005-04,3.180,
2005-07,3.585,
2005-10,3.626,
2006-01,3.255,
2006-04,3.092,
2006-07,4.746,
2006-10,4.691,
2007-01,4.569,
2007-04,4.551,
2007-07,4.448,
2007-10,4.323,
2008-01,4.091,
2008-04,4.119,
2008-07,4.299,
2008-10,7.951,
2009-01,8.565,
2009-04,5.620,
2009-07,6.100,
2009-10,5.625,
2010-01,6.607,
2010-04,6.435,
2010-07,6.248,
2010-10,5.859,
2011-01,4.783,
2011-04,3.646,
2011-07,3.546,
2011-10,3.526,
2012-01,3.154,
2012-04,3.196,
2012-07,3.167,
2012-10,3.117,
2013-01,3.034,
2013-04,2.981,
2013-07,1.355,
2013-10,1.317,
2014-01,1.320,
2014-04,0.657,
2014-07,0.704,
