"",BBK01.OEAE36J,BBK01.OEAE36J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:48,
2002-01,0.425,
2002-04,0.416,
2002-07,0.417,
2002-10,0.475,
2003-01,0.478,
2003-04,0.415,
2003-07,0.402,
2003-10,0.407,
2004-01,0.402,
2004-04,0.421,
2004-07,0.420,
2004-10,0.424,
2005-01,0.441,
2005-04,0.420,
2005-07,0.347,
2005-10,0.346,
2006-01,0.341,
2006-04,0.341,
2006-07,0.343,
2006-10,0.347,
2007-01,0.343,
2007-04,0.361,
2007-07,0.331,
2007-10,0.326,
2008-01,0.328,
2008-04,0.308,
2008-07,0.315,
2008-10,0.299,
2009-01,0.261,
2009-04,0.243,
2009-07,0.222,
2009-10,0.212,
2010-01,3.445,
2010-04,0.237,
2010-07,0.253,
2010-10,0.289,
2011-01,0.303,
2011-04,0.304,
2011-07,0.316,
2011-10,0.310,
2012-01,0.306,
2012-04,0.365,
2012-07,0.363,
2012-10,0.371,
2013-01,0.376,
2013-04,0.392,
2013-07,0.372,
2013-10,0.375,
2014-01,0.352,
2014-04,0.349,
2014-07,0.358,
