"",BBEX3.M.CRC.EUR.CA.AC.A01,BBEX3.M.CRC.EUR.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Costa Rica * / EUR 1 = CRC ... (middle),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:50,
1999-01,311.57440,
1999-02,304.17940,
1999-03,299.49230,
1999-04,298.06185,
1999-05,296.68900,
1999-06,295.76810,
1999-07,308.59675,
1999-08,307.20910,
1999-09,311.83390,
1999-10,307.49590,
1999-11,299.06305,
1999-12,300.74805,comment
2000-01,293.25025,
2000-02,295.63135,comment
2000-03,289.76160,
2000-04,276.75180,
2000-05,285.00205,
2000-06,294.46340,
2000-07,286.27880,
2000-08,277.35510,
2000-09,274.35765,
2000-10,264.91665,
2000-11,274.90505,
2000-12,295.91765,
2001-01,297.12975,
2001-02,297.12435,
2001-03,285.33985,
2001-04,287.94190,
2001-05,276.71510,
2001-06,278.15245,
2001-07,288.95880,
2001-08,304.11885,
2001-09,305.10780,
2001-10,304.41700,
2001-11,301.95810,
2001-12,301.11375,
2002-01,297.51440,
2002-02,300.44060,
2002-03,305.42720,
2002-04,318.10855,
2002-05,334.56675,
2002-06,358.48655,
2002-07,354.82945,
2002-08,359.60265,
2002-09,363.68115,
2002-10,367.18250,
2002-11,372.74395,
2002-12,396.87525,
2003-01,413.19825,
2003-02,415.34420,
2003-03,423.29800,
2003-04,435.82875,
2003-05,466.83305,
2003-06,455.08030,
2003-07,454.77990,
2003-08,442.45610,
2003-09,475.78030,
2003-10,478.83805,
2003-11,498.11085,
2003-12,528.59705,
2004-01,521.90510,
2004-02,527.23725,
2004-03,522.97330,
2004-04,514.87985,
2004-05,529.49080,
2004-06,531.55035,
2004-07,530.47445,
2004-08,537.91615,
2004-09,555.48890,
2004-10,574.61065,
2004-11,604.82280,
2004-12,624.67265,
2005-01,601.91720,
2005-02,616.50350,
2005-03,606.92910,
2005-04,610.54030,
2005-05,585.05045,
2005-06,577.74975,
2005-07,581.29845,
2005-08,590.07825,
2005-09,586.66215,
2005-10,589.18110,
2005-11,580.57065,
2005-12,585.93340,
2006-01,605.54860,
2006-02,596.45160,
2006-03,611.77850,
2006-04,636.19630,
2006-05,656.33230,
2006-06,652.17055,
2006-07,658.56015,
2006-08,666.03520,
2006-09,659.17455,
2006-10,656.80850,
2006-11,682.04400,
2006-12,681.80430,
2007-01,672.40975,
2007-02,685.63770,
2007-03,690.96450,
2007-04,705.74575,
2007-05,697.81380,
2007-06,700.38960,
2007-07,710.85190,
2007-08,710.73445,
2007-09,735.20245,
2007-10,749.70540,
2007-11,736.88385,
2007-12,733.25300,
2008-01,738.79365,
2008-02,752.44245,
2008-03,781.61880,
2008-04,768.10335,
2008-05,805.87320,
2008-06,819.01865,
2008-07,861.04810,
2008-08,813.45305,
2008-09,792.99410,
2008-10,708.86185,
2008-11,694.72875,
2008-12,773.04060,
2009-01,717.69600,
2009-02,714.49980,
2009-03,749.75275,
2009-04,760.78365,
2009-05,813.10920,
2009-06,813.07250,
2009-07,828.83320,
2009-08,840.62790,
2009-09,859.70515,
2009-10,860.75320,
2009-11,832.65730,
2009-12,814.28475,
2010-01,782.17280,
2010-02,751.09275,
2010-03,705.82110,
2010-04,680.35660,
2010-05,665.10720,
2010-06,656.59055,
2010-07,673.77560,
2010-08,645.66560,
2010-09,692.97035,
2010-10,712.04195,
2010-11,659.89550,
2010-12,685.43055,
2011-01,692.50025,
2011-02,695.08245,
2011-03,711.64285,
2011-04,744.51570,
2011-05,727.25525,
2011-06,728.56125,
2011-07,720.55780,
2011-08,738.88635,
2011-09,694.20950,
2011-10,721.67455,
2011-11,679.68880,
2011-12,662.26980,
2012-01,671.04710,
2012-02,687.34055,
2012-03,678.59160,
2012-04,666.07150,
2012-05,622.30195,
2012-06,627.24640,
2012-07,614.86945,
2012-08,627.94580,
2012-09,643.73945,
2012-10,646.85650,
2012-11,646.68985,
2012-12,670.51250,
2013-01,679.74930,
2013-02,658.13705,
2013-03,638.56615,
2013-04,652.17515,
2013-05,648.62220,
2013-06,652.40420,
2013-07,662.04415,
2013-08,666.49475,
2013-09,674.62880,
2013-10,681.81810,
2013-11,679.22970,
2013-12,691.48765,
2014-01,692.70850,
2014-02,754.27270,
2014-03,752.80410,
2014-04,759.55480,
2014-05,752.62355,
2014-06,741.79330,
2014-07,720.41230,
2014-08,711.89485,
2014-09,679.19260,
2014-10,674.93715,
2014-11,668.33360,
2014-12,654.90985,
2015-01,607.03890,
"","Source: Since March 2003: Banco Central de Costa Rica, San José. 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg. (for US dollar rates in each case)",
"",Methodology: * We do not have any data from Costa Rica on euro exchange rates; the comparable rates were calculated on the basis of buying and selling rates for the US dollar in Costa Rica in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 1999-12: Calculated using the US dollar exchange rate on 28 December 1999.,
"",Comment on 2000-02: Calculated using the US dollar exchange rate on 25 February 2000.,
