"",BBK01.CEFF0L,BBK01.CEFF0L_FLAGS
"",long-term loans  debtor: Total               creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:53,
1999-01,14.4,
1999-04,14.5,
1999-07,14.6,
1999-10,12.7,
2000-01,12.7,
2000-04,13.0,
2000-07,13.1,
2000-10,11.5,
2001-01,11.6,
2001-04,11.7,
2001-07,12.1,
2001-10,12.2,
2002-01,12.5,
2002-04,12.6,
2002-07,12.5,
2002-10,14.6,
2003-01,14.7,
2003-04,15.0,
2003-07,15.2,
2003-10,18.8,
2004-01,19.3,
2004-04,19.4,
2004-07,19.6,
2004-10,21.0,
2005-01,21.1,
2005-04,21.1,
2005-07,21.1,
2005-10,18.8,
2006-01,18.9,
2006-04,19.5,
2006-07,20.2,
2006-10,19.6,
2007-01,19.8,
2007-04,20.1,
2007-07,20.3,
2007-10,21.3,
2008-01,21.4,
2008-04,21.4,
2008-07,21.5,
2008-10,21.0,
2009-01,21.7,
2009-04,22.1,
2009-07,22.2,
2009-10,22.8,
2010-01,23.2,
2010-04,23.7,
2010-07,23.8,
2010-10,23.5,
2011-01,24.5,
2011-04,24.5,
2011-07,24.3,
2011-10,25.5,
2012-01,25.5,
2012-04,25.4,
2012-07,25.4,
2012-10,25.8,
2013-01,26.0,
2013-04,26.3,
2013-07,26.2,
2013-10,25.2,
2014-01,24.6,
2014-04,24.5,
2014-07,23.9,
