"",BBK01.OEXI07L,BBK01.OEXI07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:08,
2002-01,2.961,
2002-04,3.033,
2002-07,4.013,
2002-10,4.791,
2003-01,5.247,
2003-04,5.241,
2003-07,5.187,
2003-10,5.147,
2004-01,5.125,
2004-04,5.044,
2004-07,5.052,
2004-10,5.064,
2005-01,5.104,
2005-04,5.092,
2005-07,4.971,
2005-10,5.033,
2006-01,5.061,
2006-04,5.197,
2006-07,5.354,
2006-10,5.418,
2007-01,5.594,
2007-04,5.414,
2007-07,4.778,
2007-10,4.321,
2008-01,3.978,
2008-04,3.924,
2008-07,4.006,
2008-10,4.561,
2009-01,4.858,
2009-04,5.064,
2009-07,5.951,
2009-10,5.818,
2010-01,5.477,
2010-04,4.633,
2010-07,4.636,
2010-10,5.374,
2011-01,5.557,
2011-04,4.578,
2011-07,4.547,
2011-10,4.404,
2012-01,4.249,
2012-04,4.298,
2012-07,4.210,
2012-10,4.024,
2013-01,3.951,
2013-04,3.954,
2013-07,4.089,
2013-10,4.229,
2014-01,4.257,
2014-04,4.307,
2014-07,4.576,
