"",BBK01.OEBI01O,BBK01.OEBI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:14,
2002-01,-59.544,
2002-04,-58.202,
2002-07,-57.453,
2002-10,-62.924,
2003-01,-61.182,
2003-04,-60.978,
2003-07,-62.336,
2003-10,-63.679,
2004-01,-64.512,
2004-04,-64.762,
2004-07,-64.184,
2004-10,-65.049,
2005-01,9.527,
2005-04,9.940,
2005-07,9.804,
2005-10,10.209,
2006-01,10.025,
2006-04,9.659,
2006-07,9.726,
2006-10,10.223,
2007-01,10.065,
2007-04,10.440,
2007-07,11.335,
2007-10,12.460,
2008-01,12.262,
2008-04,12.351,
2008-07,13.167,
2008-10,13.821,
2009-01,13.964,
2009-04,13.832,
2009-07,14.213,
2009-10,14.219,
2010-01,13.422,
2010-04,13.602,
2010-07,15.706,
2010-10,15.083,
2011-01,15.019,
2011-04,15.228,
2011-07,15.345,
2011-10,14.985,
2012-01,14.902,
2012-04,14.726,
2012-07,15.379,
2012-10,16.447,
2013-01,15.435,
2013-04,15.233,
2013-07,14.704,
2013-10,14.957,
2014-01,14.289,
2014-04,14.117,
2014-07,15.114,
