"",BBEX3.M.LAK.USD.CA.AA.A01,BBEX3.M.LAK.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Lao People?s Democratic Republic  / USD 1 = LAK ... (buying),
unit,LAK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:45,
1990-01,710.00,
1990-02,710.00,
1990-03,710.00,
1990-04,710.00,
1990-05,710.00,
1990-06,710.00,
1990-07,710.00,
1990-08,706.00,
1990-09,704.00,
1990-10,694.00,
1990-11,694.00,
1990-12,694.00,
1991-01,694.00,
1991-02,699.00,
1991-03,699.00,
1991-04,699.00,
1991-05,699.00,
1991-06,699.00,
1991-07,699.00,
1991-08,699.00,
1991-09,705.00,
1991-10,705.00,
1991-11,705.00,
1991-12,710.00,
1992-01,710.00,
1992-02,710.00,
1992-03,715.00,
1992-04,715.00,
1992-05,715.00,
1992-06,715.00,
1992-07,715.00,
1992-08,715.00,
1992-09,715.00,
1992-10,715.00,
1992-11,715.00,
1992-12,715.00,
1993-01,715.00,
1993-02,715.00,
1993-03,715.00,
1993-04,715.00,
1993-05,715.00,
1993-06,715.00,
1993-07,715.00,
1993-08,715.00,
1993-09,718.00,
1993-10,718.00,
1993-11,718.00,
1993-12,718.00,
1994-01,718.00,
1994-02,718.00,
1994-03,718.00,
1994-04,718.00,
1994-05,718.00,
1994-06,718.00,
1994-07,718.00,
1994-08,718.00,
1994-09,718.00,
1994-10,720.00,
1994-11,720.00,
1994-12,720.00,
1995-01,720.00,
1995-02,720.00,
1995-03,725.00,
1995-04,725.00,
1995-05,730.00,
1995-06,782.00,
1995-07,785.00,
1995-08,920.00,
1995-09,923.00,
1995-10,925.00,
1995-11,925.00,
1995-12,925.00,
1996-01,925.00,
1996-02,925.00,
1996-03,925.00,
1996-04,925.00,
1996-05,927.00,
1996-06,927.00,
1996-07,927.00,
1996-08,927.50,
1996-09,927.50,
1996-10,928.00,
1996-11,942.00,
1996-12,952.00,
1997-01,970.00,
1997-02,990.00,
1997-03,1010.00,
1997-04,1018.00,
1997-05,1018.00,
1997-06,1078.00,
1997-07,1171.00,
1997-08,1300.00,
1997-09,1450.00,
1997-10,1746.00,
1997-11,1814.00,
1997-12,2130.00,
1998-01,2491.00,
1998-02,2427.00,
1998-03,2421.00,
1998-04,2470.00,
1998-05,3232.00,
1998-06,3420.00,
1998-07,3562.00,
1998-08,3790.00,
1998-09,4130.00,
1998-10,4180.00,
1998-11,4165.00,
1998-12,4242.00,
1999-01,4339.00,
1999-02,4428.00,
1999-03,5330.00,
1999-04,6680.00,
1999-05,7990.00,
1999-06,9390.00,
1999-07,9300.00,
1999-08,9300.00,
1999-09,6850.00,
1999-10,7600.00,
1999-11,7605.00,
1999-12,7480.00,
2000-01,7470.00,
2000-02,7530.00,
2000-03,7520.00,
2000-04,7550.00,
2000-05,7700.00,
2000-06,7780.00,
2000-07,7980.00,
2000-08,7950.00,
2000-09,8050.00,
2000-10,8140.00,
2000-11,8240.00,
2000-12,8190.00,
2001-01,8200.00,
2001-02,8210.00,
2001-03,8350.00,
2001-04,8500.00,
2001-05,8510.00,
2001-06,8653.00,
2001-07,9125.00,
2001-08,9135.00,
2001-09,9490.00,
2001-10,9500.00,
2001-11,9490.00,
2001-12,9460.00,
2002-01,9530.00,
2002-02,9535.00,
2002-03,9430.00,
2002-04,9430.00,
2002-05,9535.00,
2002-06,9980.00,
2002-07,10280.00,
2002-08,10500.00,
2002-09,10890.00,
2002-10,10700.00,
2002-11,10805.00,
2002-12,10715.00,
2003-01,10645.00,
2003-02,10625.00,
2003-03,10685.00,
2003-04,10685.00,
2003-05,10555.00,
2003-06,10625.00,
2003-07,10685.00,
2003-08,10570.00,
2003-09,10460.00,
2003-10,10505.00,
2003-11,10486.00,
2003-12,10450.00,
2004-01,10405.00,
2004-02,10410.00,
2004-03,10440.00,
2004-04,10420.00,
2004-05,10570.00,
2004-06,10690.00,
2004-07,10725.00,
2004-08,10815.00,
2004-09,10850.00,
2004-10,10810.00,
2004-11,10480.00,
2004-12,10365.00,
2005-01,10790.00,
2005-02,10285.00,
2005-03,10355.00,
2005-04,10460.00,
2005-05,10500.00,
2005-06,10700.00,
2005-07,10885.00,
2005-08,10810.00,
2005-09,10847.00,
2005-10,10812.00,
2005-11,10807.00,
2005-12,10772.00,
2006-01,10416.00,
2006-02,10451.00,
2006-03,10316.00,
2006-04,9965.00,
2006-05,10095.00,
2006-06,10130.00,
2006-07,10060.00,
2006-08,10035.00,
2006-09,10015.00,
2006-10,9890.00,
2006-11,9795.00,
2006-12,9660.00,
2007-01,9670.00,
2007-02,9648.00,
2007-03,9618.00,
2007-04,9591.00,
2007-05,9556.00,
2007-06,9588.00,
2007-07,9515.00,
2007-08,9611.00,
2007-09,9611.00,
2007-10,9593.00,
2007-11,9443.00,
2007-12,9331.00,
2008-01,9202.00,
2008-02,8945.00,
2008-03,8735.00,
2008-04,8723.00,
2008-05,8664.00,
2008-06,8683.00,
2008-07,8597.00,
2008-08,8643.00,
2008-09,8531.00,
2008-10,8551.00,
2008-11,8538.00,
2008-12,8452.00,
2009-01,8482.00,
2009-02,8527.00,
2009-03,8552.00,
2009-04,8539.00,
2009-05,8517.00,
2009-06,8505.00,
2009-07,8505.00,
2009-08,8504.00,
2009-09,8494.00,
2009-10,8476.00,
2009-11,8471.00,
2009-12,8478.00,
2010-01,8472.00,
2010-02,8477.00,
2010-03,8444.00,
2010-04,8268.00,
2010-05,8276.00,
2010-06,8243.00,
2010-07,8224.00,
2010-08,8173.00,
2010-09,8103.00,
2010-10,8033.00,
2010-11,8033.00,
2010-12,8041.00,
2011-01,8043.00,
2011-02,8035.00,
2011-03,8032.00,
2011-04,8014.00,
2011-05,8009.00,
2011-06,8009.00,
2011-07,7991.00,
2011-08,7988.00,
2011-09,8003.00,
2011-10,7990.00,
2011-11,8001.00,
2011-12,8006.00,
2012-01,7986.00,
2012-02,7966.00,
2012-03,7975.00,
2012-04,7970.00,
2012-05,8018.00,
2012-06,8005.00,
2012-07,7998.00,
2012-08,7998.00,
2012-09,7986.00,
2012-10,7985.00,
2012-11,7983.00,
2012-12,7968.00,
2013-01,7920.00,
2013-02,7874.00,
2013-03,7735.00,
2013-04,7634.00,
2013-05,7671.00,
2013-06,7750.00,
2013-07,7787.00,
2013-08,7829.00,
2013-09,7837.00,
2013-10,7891.00,
2013-11,7982.00,
2013-12,8007.00,
2014-01,8014.00,
2014-02,8015.00,
2014-03,8025.00,
2014-04,8030.00,
2014-05,8048.00,
2014-06,8036.00,
2014-07,8033.00,
2014-08,8032.00,
2014-09,8037.00,
2014-10,8034.00,
2014-11,8040.00,
2014-12,8080.00,
2015-01,8094.00,
2015-02,8094.00,
"","Source: Banque pour le Commerce Exterieur Lao, Vientiane.",
