"",BBK01.OECI05V,BBK01.OECI05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:51,
2002-01,0.044,
2002-04,0.044,
2002-07,0.045,
2002-10,0.042,
2003-01,0.042,
2003-04,0.042,
2003-07,0.042,
2003-10,0.033,
2004-01,0.032,
2004-04,0.067,
2004-07,0.066,
2004-10,0.067,
2005-01,0.221,
2005-04,0.214,
2005-07,0.208,
2005-10,0.193,
2006-01,0.186,
2006-04,0.184,
2006-07,0.167,
2006-10,0.161,
2007-01,0.158,
2007-04,0.173,
2007-07,0.171,
2007-10,0.168,
2008-01,0.162,
2008-04,0.159,
2008-07,0.162,
2008-10,0.196,
2009-01,0.199,
2009-04,0.218,
2009-07,0.267,
2009-10,0.279,
2010-01,0.287,
2010-04,0.289,
2010-07,0.308,
2010-10,0.286,
2011-01,0.307,
2011-04,0.263,
2011-07,0.244,
2011-10,0.236,
2012-01,0.302,
2012-04,0.416,
2012-07,0.422,
2012-10,0.438,
2013-01,0.431,
2013-04,0.500,
2013-07,0.486,
2013-10,0.489,
2014-01,0.490,
2014-04,0.410,
2014-07,0.382,
