"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F52._Z._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F52._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Investment fund shares/units - Liabilities - Positions - resident issuer: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:36,
1999-10,1263,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,1410,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,4159,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,2386,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,1830,
2004-01,1825,
2004-04,1863,
2004-07,6496,
2004-10,4272,
2005-01,4461,
2005-04,4922,
2005-07,5884,
2005-10,3390,
2006-01,3543,
2006-04,3718,
2006-07,3791,
2006-10,3683,
2007-01,3848,
2007-04,4506,
2007-07,3637,
2007-10,3101,
2008-01,3250,
2008-04,2768,
2008-07,3611,
2008-10,3316,
2009-01,11964,
2009-04,3180,
2009-07,2930,
2009-10,1642,
2010-01,1664,
2010-04,1550,
2010-07,1629,
2010-10,1778,
2011-01,2082,
2011-04,2274,
2011-07,772,
2011-10,936,
2012-01,579,
2012-04,380,
2012-07,751,
2012-10,1145,
2013-01,786,
2013-04,1697,
2013-07,1690,
2013-10,1388,
2014-01,1295,
2014-04,1304,
2014-07,1369,
