"",BBK01.CEH0Q2,BBK01.CEH0Q2_FLAGS
"",Acquisition of financial assets (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:01,
1991-01,49.9,
1991-04,38.9,
1991-07,54.3,
1991-10,100.2,
1992-01,58.1,
1992-04,41.3,
1992-07,100.3,
1992-10,63.1,
1993-01,74.3,
1993-04,59.9,
1993-07,85.5,
1993-10,156.7,
1994-01,64.0,
1994-04,55.3,
1994-07,56.5,
1994-10,107.5,
1995-01,59.4,
1995-04,76.8,
1995-07,93.6,
1995-10,129.1,
1996-01,114.0,
1996-04,74.2,
1996-07,62.2,
1996-10,144.2,
1997-01,152.2,
1997-04,96.5,
1997-07,83.1,
1997-10,134.4,
1998-01,166.0,
1998-04,143.3,
1998-07,88.7,
1998-10,169.7,
1999-01,164.4,
1999-04,126.1,
1999-07,98.0,
1999-10,161.5,
2000-01,200.2,
2000-04,86.0,
2000-07,76.7,
2000-10,112.0,
2001-01,266.9,
2001-04,-8.2,
2001-07,33.7,
2001-10,65.0,
2002-01,92.7,
2002-04,60.8,
2002-07,110.2,
2002-10,51.0,
2003-01,126.6,
2003-04,68.1,
2003-07,16.1,
2003-10,75.1,
2004-01,138.0,
2004-04,-1.9,
2004-07,85.1,
2004-10,44.7,
2005-01,168.4,
2005-04,80.2,
2005-07,95.5,
2005-10,14.9,
2006-01,198.8,
2006-04,113.5,
2006-07,105.7,
2006-10,58.0,
2007-01,157.8,
2007-04,158.5,
2007-07,112.3,
2007-10,98.8,
2008-01,208.3,
2008-04,65.4,
2008-07,137.9,
2008-10,-9.4,
2009-01,90.4,
2009-04,-23.0,
2009-07,-69.6,
2009-10,-13.8,
2010-01,49.9,
2010-04,207.9,
2010-07,-23.2,
2010-10,-29.8,
2011-01,-31.7,
2011-04,82.7,
2011-07,190.6,
2011-10,-101.5,
2012-01,261.1,
2012-04,142.1,
2012-07,33.0,
2012-10,-118.6,
2013-01,44.1,
2013-04,44.7,
2013-07,-154.2,
2013-10,-37.8,
2014-01,111.7,
