"",BBK01.OEAE21L,BBK01.OEAE21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:12,
2002-01,0.575,
2002-04,0.597,
2002-07,0.740,
2002-10,0.760,
2003-01,0.841,
2003-04,0.694,
2003-07,0.811,
2003-10,0.838,
2004-01,0.792,
2004-04,0.942,
2004-07,1.115,
2004-10,1.051,
2005-01,0.987,
2005-04,1.010,
2005-07,1.218,
2005-10,1.186,
2006-01,1.026,
2006-04,1.290,
2006-07,1.340,
2006-10,1.095,
2007-01,1.023,
2007-04,1.050,
2007-07,1.221,
2007-10,1.700,
2008-01,1.649,
2008-04,1.779,
2008-07,2.340,
2008-10,2.655,
2009-01,2.063,
2009-04,1.967,
2009-07,1.633,
2009-10,1.552,
2010-01,1.054,
2010-04,1.205,
2010-07,1.267,
2010-10,1.272,
2011-01,1.331,
2011-04,1.199,
2011-07,1.314,
2011-10,1.276,
2012-01,1.335,
2012-04,1.501,
2012-07,1.834,
2012-10,1.677,
2013-01,1.566,
2013-04,1.400,
2013-07,1.413,
2013-10,1.303,
2014-01,1.221,
2014-04,1.509,
2014-07,1.524,
