"",BBK01.OEYB20K,BBK01.OEYB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:03,
2002-01,24.386,
2002-04,24.280,
2002-07,25.430,
2002-10,24.795,
2003-01,24.752,
2003-04,20.258,
2003-07,20.194,
2003-10,20.114,
2004-01,21.314,
2004-04,22.742,
2004-07,22.625,
2004-10,23.070,
2005-01,22.789,
2005-04,22.681,
2005-07,22.487,
2005-10,22.260,
2006-01,21.881,
2006-04,21.506,
2006-07,21.001,
2006-10,20.672,
2007-01,19.348,
2007-04,18.923,
2007-07,17.967,
2007-10,17.448,
2008-01,16.955,
2008-04,16.469,
2008-07,15.939,
2008-10,15.279,
2009-01,14.663,
2009-04,14.140,
2009-07,13.634,
2009-10,12.932,
2010-01,12.489,
2010-04,12.103,
2010-07,11.946,
2010-10,11.544,
2011-01,11.099,
2011-04,10.688,
2011-07,10.279,
2011-10,10.001,
2012-01,9.610,
2012-04,9.132,
2012-07,8.719,
2012-10,8.304,
2013-01,7.923,
2013-04,7.565,
2013-07,7.114,
2013-10,6.756,
2014-01,6.415,
2014-04,6.129,
2014-07,5.872,
