"",BBK01.OEXI07Q,BBK01.OEXI07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:10,
2002-01,1.970,
2002-04,1.924,
2002-07,1.956,
2002-10,2.027,
2003-01,2.082,
2003-04,2.066,
2003-07,1.998,
2003-10,1.955,
2004-01,1.921,
2004-04,1.859,
2004-07,1.802,
2004-10,0.944,
2005-01,0.956,
2005-04,0.932,
2005-07,0.897,
2005-10,0.917,
2006-01,0.934,
2006-04,0.931,
2006-07,0.941,
2006-10,0.974,
2007-01,1.123,
2007-04,1.194,
2007-07,1.261,
2007-10,1.387,
2008-01,1.452,
2008-04,1.455,
2008-07,1.507,
2008-10,1.811,
2009-01,1.807,
2009-04,1.830,
2009-07,1.876,
2009-10,1.737,
2010-01,1.611,
2010-04,1.585,
2010-07,1.532,
2010-10,1.648,
2011-01,1.775,
2011-04,1.692,
2011-07,1.655,
2011-10,1.637,
2012-01,1.578,
2012-04,1.564,
2012-07,1.532,
2012-10,1.483,
2013-01,1.385,
2013-04,1.319,
2013-07,1.307,
2013-10,1.299,
2014-01,1.294,
2014-04,1.270,
2014-07,1.358,
