"",BBK01.SUD237,BBK01.SUD237_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations up to EUR 0.25 million, with floating rate or initial rate fixation up to 3 months",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:16,
2010-06,2206,
2010-07,1751,
2010-08,1472,
2010-09,1900,
2010-10,1921,
2010-11,1841,
2010-12,1788,
2011-01,1588,
2011-02,1671,
2011-03,2174,
2011-04,1756,
2011-05,2071,
2011-06,1992,
2011-07,1950,
2011-08,1818,
2011-09,2213,
2011-10,2284,
2011-11,2415,
2011-12,2320,
2012-01,2165,
2012-02,2231,
2012-03,2602,
2012-04,2224,
2012-05,2292,
2012-06,2289,
2012-07,2290,
2012-08,2054,
2012-09,2226,
2012-10,2398,
2012-11,2219,
2012-12,2136,
2013-01,2085,
2013-02,1890,
2013-03,2209,
2013-04,2339,
2013-05,2334,
2013-06,3005,
2013-07,2970,
2013-08,2332,
2013-09,2860,
2013-10,2997,
2013-11,2756,
2013-12,2770,
2014-01,2741,
2014-02,2689,
2014-03,3347,
2014-04,2984,
2014-05,2876,
2014-06,3065,
2014-07,2796,
2014-08,2136,
2014-09,2651,
2014-10,2895,
2014-11,3853,
2014-12,2928,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. Excluding overdrafts. p = Provisional,
