"",BBK01.CEHQ3Q,BBK01.CEHQ3Q_FLAGS
"",short-term time deposits (consolidated) debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:44,
1991-01,14.6,
1991-04,4.4,
1991-07,14.7,
1991-10,11.8,
1992-01,14.0,
1992-04,9.9,
1992-07,33.6,
1992-10,-15.6,
1993-01,11.2,
1993-04,8.7,
1993-07,-0.3,
1993-10,16.4,
1994-01,7.4,
1994-04,-9.5,
1994-07,-3.7,
1994-10,-14.9,
1995-01,9.5,
1995-04,-4.0,
1995-07,2.0,
1995-10,-15.5,
1996-01,1.3,
1996-04,-20.5,
1996-07,-9.3,
1996-10,-8.7,
1997-01,21.9,
1997-04,5.0,
1997-07,-2.4,
1997-10,17.0,
1998-01,13.7,
1998-04,4.5,
1998-07,23.5,
1998-10,35.7,
1999-01,-4.6,
1999-04,0.6,
1999-07,29.2,
1999-10,69.4,
2000-01,1.2,
2000-04,6.3,
2000-07,22.8,
2000-10,49.9,
2001-01,68.2,
2001-04,-29.2,
2001-07,4.0,
2001-10,23.3,
2002-01,-35.7,
2002-04,-18.9,
2002-07,22.9,
2002-10,11.0,
2003-01,-8.2,
2003-04,-20.3,
2003-07,-5.8,
2003-10,27.0,
2004-01,-17.3,
2004-04,-50.5,
2004-07,17.6,
2004-10,82.2,
2005-01,-45.8,
2005-04,-19.7,
2005-07,23.1,
2005-10,34.9,
2006-01,15.9,
2006-04,-16.6,
2006-07,41.2,
2006-10,5.3,
2007-01,22.5,
2007-04,18.3,
2007-07,93.5,
2007-10,97.0,
2008-01,26.6,
2008-04,9.1,
2008-07,49.8,
2008-10,-97.3,
2009-01,-141.0,
2009-04,-37.1,
2009-07,-72.3,
2009-10,-32.3,
2010-01,-51.0,
2010-04,15.6,
2010-07,42.5,
2010-10,5.0,
2011-01,-51.3,
2011-04,6.8,
2011-07,56.2,
2011-10,-27.4,
2012-01,85.0,
2012-04,-9.1,
2012-07,-48.2,
2012-10,-81.2,
2013-01,-0.2,
2013-04,-6.8,
2013-07,-77.2,
2013-10,-18.5,
2014-01,12.5,
