"",BBK01.QUA525,BBK01.QUA525_FLAGS
"",All foreign subsidiaries: Short-term liabilities to foreign banks / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:25,
2005-12,0.068,
2006-01,0.105,
2006-02,0.084,
2006-03,0.066,
2006-04,0.086,
2006-05,0.068,
2006-06,0.073,
2006-07,0.114,
2006-08,0.153,
2006-09,0.076,
2006-10,0.106,
2006-11,0.091,
2006-12,0.102,
2007-01,0.001,
2007-02,0.002,
2007-03,0.002,
2007-04,0.003,
2007-05,0.001,
2007-06,0.001,
2007-07,0.002,
2007-08,0.012,
2007-09,0.008,
2007-10,0.008,
2007-11,0.007,
2007-12,0.007,
2008-01,0.009,
2008-02,0.006,
2008-03,0.009,
2008-04,0.013,
2008-05,0.010,
2008-06,0.009,
2008-07,0.007,
2008-08,0.006,
2008-09,0.026,
2008-10,0.016,
2008-11,0.013,
2008-12,0.010,
2009-01,0.025,
2009-02,0.021,
2009-03,0.012,
2009-04,0.024,
2009-05,0.007,
2009-06,0.002,
2009-07,0.017,
2009-08,0.015,
2009-09,0.010,
2009-10,0.012,
2009-11,0.010,
2009-12,0.002,
2010-01,0.012,
2010-02,0.021,
2010-03,.,No value available
2010-04,0.013,
2010-05,0.016,
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,0.010,
2011-02,0.007,
2011-03,0.010,
2011-04,0.002,
2011-05,0.007,
2011-06,0.007,
2011-07,0.009,
2011-08,0.013,
2011-09,0.008,
2011-10,0.007,
2011-11,0.005,
2011-12,0.008,
2012-01,0.002,
2012-02,0.003,
2012-03,0.008,
2012-04,0.004,
2012-05,0.020,
2012-06,0.021,
2012-07,0.002,
2012-08,0.006,
2012-09,0.005,
2012-10,0.003,
2012-11,0.003,
2012-12,0.005,
2013-01,0.012,
2013-02,0.004,
2013-03,0.014,
2013-04,0.011,
2013-05,0.014,
2013-06,0.004,
2013-07,0.005,
2013-08,0.004,
2013-09,0.004,
2013-10,0.006,
2013-11,0.005,
2013-12,0.011,
2014-01,0.007,
2014-02,.,No value available
2014-03,0.015,
2014-04,0.014,
2014-05,.,No value available
2014-06,.,No value available
2014-07,0.002,
2014-08,.,No value available
2014-09,0.007,
2014-10,0.005,
2014-11,0.007,
