"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:19,
1991-01,8.709,
1991-04,8.436,
1991-07,22.005,
1991-10,24.133,
1992-01,31.155,
1992-04,-51.378,
1992-07,6.517,
1992-10,81.346,
1993-01,-17.266,
1993-04,64.830,
1993-07,44.975,
1993-10,44.320,
1994-01,92.937,
1994-04,200.364,
1994-07,157.160,
1994-10,-210.029,
1995-01,107.502,
1995-04,290.219,
1995-07,267.440,
1995-10,142.295,
1996-01,225.533,
1996-04,7.412,
1996-07,57.172,
1996-10,74.308,
1997-01,60.582,
1997-04,89.206,
1997-07,-4.189,
1997-10,88.799,
1998-01,65.334,
1998-04,117.290,
1998-07,121.217,
1998-10,76.961,
1999-01,133.758,
1999-04,164.554,
1999-07,199.703,
1999-10,123.897,
2000-01,47.243,
2000-04,-23.730,
2000-07,91.525,
2000-10,-10.650,
2001-01,25.202,
2001-04,12.399,
2001-07,61.243,
2001-10,-62.182,
2002-01,41.485,
2002-04,-34.333,
2002-07,-26.408,
2002-10,-73.378,
2003-01,-54.666,
2003-04,-123.609,
2003-07,-92.789,
2003-10,-68.225,
2004-01,-29.552,
2004-04,1.509,
2004-07,-10.899,
2004-10,-49.671,
2005-01,-31.654,
2005-04,-50.260,
2005-07,43.737,
2005-10,-125.221,
2006-01,-30.338,
2006-04,8.727,
2006-07,-8.595,
2006-10,-26.073,
2007-01,73.248,
2007-04,73.974,
2007-07,164.199,
2007-10,-117.707,
2008-01,105.089,
2008-04,53.978,
2008-07,-1.575,
2008-10,47.543,
2009-01,17.008,
2009-04,-72.224,
2009-07,-43.886,
2009-10,-3.477,
2010-01,109.540,
2010-04,-26.369,
2010-07,2150.449,
2010-10,-2124.903,
2011-01,39.553,
2011-04,12.968,
2011-07,55.392,
2011-10,122.612,
2012-01,53.317,
2012-04,-71.213,
2012-07,4.072,
2012-10,142.333,
2013-01,-68.815,
2013-04,-33.528,
2013-07,38.343,
2013-10,-21.999,
2014-01,89.768,Provisional value
2014-04,121.013,Provisional value
2014-07,683.996,Provisional value
2014-10,-80.475,Provisional value
