"",BBK01.OEAJ04I,BBK01.OEAJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:18,
2002-01,3.797,
2002-04,3.817,
2002-07,4.182,
2002-10,3.826,
2003-01,3.867,
2003-04,3.386,
2003-07,3.323,
2003-10,3.364,
2004-01,3.022,
2004-04,3.184,
2004-07,3.470,
2004-10,3.395,
2005-01,3.988,
2005-04,3.566,
2005-07,3.629,
2005-10,3.906,
2006-01,3.787,
2006-04,3.406,
2006-07,3.958,
2006-10,4.085,
2007-01,4.651,
2007-04,4.956,
2007-07,5.453,
2007-10,6.423,
2008-01,8.165,
2008-04,10.821,
2008-07,12.197,
2008-10,9.320,
2009-01,11.434,
2009-04,11.459,
2009-07,9.594,
2009-10,9.982,
2010-01,11.872,
2010-04,7.330,
2010-07,13.764,
2010-10,13.375,
2011-01,14.567,
2011-04,15.826,
2011-07,16.470,
2011-10,13.512,
2012-01,14.739,
2012-04,11.444,
2012-07,14.555,
2012-10,12.575,
2013-01,16.955,
2013-04,14.181,
2013-07,6.078,
2013-10,6.549,
2014-01,5.724,
2014-04,5.519,
2014-07,5.773,
