"",BBK01.OEAH85M,BBK01.OEAH85M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:07,
2002-01,14.617,
2002-04,14.199,
2002-07,14.218,
2002-10,12.742,
2003-01,13.510,
2003-04,13.288,
2003-07,12.893,
2003-10,12.815,
2004-01,12.491,
2004-04,12.740,
2004-07,12.263,
2004-10,12.281,
2005-01,12.378,
2005-04,12.788,
2005-07,13.013,
2005-10,13.244,
2006-01,12.945,
2006-04,11.410,
2006-07,11.302,
2006-10,12.712,
2007-01,11.550,
2007-04,11.236,
2007-07,11.042,
2007-10,10.266,
2008-01,10.076,
2008-04,11.379,
2008-07,10.484,
2008-10,9.883,
2009-01,9.664,
2009-04,4.292,
2009-07,4.123,
2009-10,4.480,
2010-01,4.048,
2010-04,4.620,
2010-07,4.270,
2010-10,4.430,
2011-01,3.850,
2011-04,3.780,
2011-07,4.144,
2011-10,4.987,
2012-01,5.623,
2012-04,5.534,
2012-07,6.045,
2012-10,5.322,
2013-01,5.223,
2013-04,5.433,
2013-07,4.666,
2013-10,4.773,
2014-01,5.024,
2014-04,5.161,
2014-07,5.341,
