"",BBK01.OEAA27L,BBK01.OEAA27L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:26,
2002-01,4.927,
2002-04,4.928,
2002-07,4.707,
2002-10,4.756,
2003-01,4.957,
2003-04,4.787,
2003-07,4.577,
2003-10,4.479,
2004-01,4.629,
2004-04,4.553,
2004-07,4.494,
2004-10,4.646,
2005-01,4.271,
2005-04,4.054,
2005-07,3.987,
2005-10,3.880,
2006-01,3.672,
2006-04,3.591,
2006-07,3.440,
2006-10,3.308,
2007-01,3.277,
2007-04,3.156,
2007-07,3.195,
2007-10,3.350,
2008-01,3.361,
2008-04,3.310,
2008-07,3.348,
2008-10,3.463,
2009-01,3.494,
2009-04,3.327,
2009-07,3.164,
2009-10,3.155,
2010-01,3.230,
2010-04,3.168,
2010-07,3.190,
2010-10,3.086,
2011-01,3.051,
2011-04,2.992,
2011-07,2.955,
2011-10,2.865,
2012-01,2.864,
2012-04,2.873,
2012-07,2.812,
2012-10,2.851,
2013-01,2.791,
2013-04,2.665,
2013-07,2.561,
2013-10,2.465,
2014-01,2.458,
2014-04,2.411,
2014-07,2.311,
