"",BBK01.OEBL04S,BBK01.OEBL04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:24,
2002-01,0.141,
2002-04,0.132,
2002-07,0.125,
2002-10,0.099,
2003-01,0.093,
2003-04,0.094,
2003-07,0.083,
2003-10,0.082,
2004-01,0.074,
2004-04,0.063,
2004-07,0.059,
2004-10,0.065,
2005-01,0.132,
2005-04,0.131,
2005-07,0.120,
2005-10,0.120,
2006-01,0.120,
2006-04,0.121,
2006-07,0.132,
2006-10,0.152,
2007-01,0.186,
2007-04,0.191,
2007-07,0.232,
2007-10,0.297,
2008-01,0.316,
2008-04,0.342,
2008-07,0.434,
2008-10,0.448,
2009-01,0.403,
2009-04,0.372,
2009-07,0.279,
2009-10,0.211,
2010-01,0.168,
2010-04,0.157,
2010-07,0.117,
2010-10,0.095,
2011-01,0.092,
2011-04,0.089,
2011-07,0.070,
2011-10,0.112,
2012-01,0.136,
2012-04,0.133,
2012-07,0.130,
2012-10,0.090,
2013-01,0.071,
2013-04,0.070,
2013-07,0.059,
2013-10,0.050,
2014-01,0.052,
2014-04,0.059,
2014-07,0.052,
