"",BBK01.OEAA06G,BBK01.OEAA06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:22,
2002-01,39.228,
2002-04,41.414,
2002-07,41.456,
2002-10,40.520,
2003-01,39.681,
2003-04,40.557,
2003-07,40.809,
2003-10,41.529,
2004-01,42.731,
2004-04,43.711,
2004-07,43.305,
2004-10,45.057,
2005-01,40.887,
2005-04,40.553,
2005-07,42.015,
2005-10,41.331,
2006-01,44.916,
2006-04,44.751,
2006-07,46.213,
2006-10,44.200,
2007-01,44.354,
2007-04,43.865,
2007-07,43.791,
2007-10,43.574,
2008-01,34.708,
2008-04,35.653,
2008-07,37.813,
2008-10,39.143,
2009-01,42.269,
2009-04,44.259,
2009-07,47.011,
2009-10,46.619,
2010-01,46.279,
2010-04,45.618,
2010-07,47.648,
2010-10,48.639,
2011-01,47.888,
2011-04,47.202,
2011-07,46.830,
2011-10,48.074,
2012-01,48.619,
2012-04,48.330,
2012-07,47.718,
2012-10,47.097,
2013-01,45.693,
2013-04,45.132,
2013-07,42.988,
2013-10,44.240,
2014-01,44.336,
2014-04,45.551,
2014-07,48.170,
