"",BBK01.OEBB14V,BBK01.OEBB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:14,
2002-01,0.425,
2002-04,0.423,
2002-07,0.429,
2002-10,0.397,
2003-01,0.340,
2003-04,0.316,
2003-07,0.302,
2003-10,0.293,
2004-01,0.278,
2004-04,0.272,
2004-07,0.267,
2004-10,0.230,
2005-01,0.244,
2005-04,0.245,
2005-07,0.223,
2005-10,0.217,
2006-01,0.221,
2006-04,0.226,
2006-07,0.216,
2006-10,0.204,
2007-01,0.190,
2007-04,0.185,
2007-07,0.160,
2007-10,0.181,
2008-01,0.170,
2008-04,0.169,
2008-07,0.159,
2008-10,0.162,
2009-01,0.166,
2009-04,0.160,
2009-07,0.158,
2009-10,0.154,
2010-01,0.144,
2010-04,0.149,
2010-07,0.169,
2010-10,0.147,
2011-01,0.161,
2011-04,0.162,
2011-07,0.156,
2011-10,0.149,
2012-01,0.152,
2012-04,0.154,
2012-07,0.149,
2012-10,0.163,
2013-01,0.158,
2013-04,0.157,
2013-07,0.141,
2013-10,0.139,
2014-01,0.147,
2014-04,0.145,
2014-07,0.142,
