"",BBK01.OEAB18M,BBK01.OEAB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:21,
2002-01,4.010,
2002-04,4.050,
2002-07,4.139,
2002-10,4.045,
2003-01,3.824,
2003-04,3.811,
2003-07,3.830,
2003-10,3.695,
2004-01,3.440,
2004-04,3.405,
2004-07,3.404,
2004-10,3.252,
2005-01,3.128,
2005-04,3.216,
2005-07,3.320,
2005-10,3.150,
2006-01,3.001,
2006-04,3.118,
2006-07,3.224,
2006-10,3.043,
2007-01,2.994,
2007-04,3.005,
2007-07,2.999,
2007-10,2.951,
2008-01,2.856,
2008-04,2.931,
2008-07,3.178,
2008-10,3.054,
2009-01,2.811,
2009-04,2.899,
2009-07,2.842,
2009-10,2.740,
2010-01,2.566,
2010-04,2.653,
2010-07,2.695,
2010-10,2.646,
2011-01,2.501,
2011-04,2.478,
2011-07,2.565,
2011-10,2.581,
2012-01,2.428,
2012-04,2.418,
2012-07,2.486,
2012-10,2.510,
2013-01,2.414,
2013-04,2.432,
2013-07,2.501,
2013-10,2.527,
2014-01,2.421,
2014-04,2.441,
2014-07,2.485,
