"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions - resident issuer: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:31,
1999-10,4314,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,6499,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,7209,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,4574,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,7805,
2004-01,8500,
2004-04,7141,
2004-07,8337,
2004-10,7453,
2005-01,8586,
2005-04,10443,
2005-07,7576,
2005-10,4905,
2006-01,8996,
2006-04,13489,
2006-07,11725,
2006-10,6784,
2007-01,9595,
2007-04,14622,
2007-07,22688,
2007-10,24691,
2008-01,31103,
2008-04,39258,
2008-07,48753,
2008-10,52400,
2009-01,42868,
2009-04,46759,
2009-07,43945,
2009-10,39299,
2010-01,39132,
2010-04,42765,
2010-07,44034,
2010-10,45070,
2011-01,48152,
2011-04,48339,
2011-07,46416,
2011-10,40245,
2012-01,35010,
2012-04,42740,
2012-07,38985,
2012-10,37823,
2013-01,37409,
2013-04,40185,
2013-07,38753,
2013-10,35729,
2014-01,35756,
2014-04,37538,
2014-07,38469,
