"",BBFN1.M.DE.N.1.A.VG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / British Virgin Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:37,
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,0.007,
1995-01,0.007,
1995-02,0.008,
1995-03,0.008,
1995-04,0.010,
1995-05,0.011,
1995-06,0.010,
1995-07,0.011,
1995-08,0.010,
1995-09,0.008,
1995-10,0.006,
1995-11,0.005,
1995-12,0.004,
1996-01,0.005,
1996-02,0.005,
1996-03,0.007,
1996-04,0.011,
1996-05,0.005,
1996-06,0.016,
1996-07,0.021,
1996-08,0.014,
1996-09,.,No value available
1996-10,.,No value available
1996-11,0.021,
1996-12,0.030,
1997-01,0.020,
1997-02,0.028,
1997-03,0.025,
1997-04,0.037,
1997-05,0.035,
1997-06,0.036,
1997-07,0.036,
1997-08,0.026,
1997-09,0.040,
1997-10,0.041,
1997-11,0.023,
1997-12,0.024,
1998-01,0.024,
1998-02,0.024,
1998-03,0.020,
1998-04,0.020,
1998-05,0.020,
1998-06,0.019,
1998-07,0.012,
1998-08,0.014,
1998-09,0.013,
1998-10,0.015,
1998-11,0.016,
1998-12,0.019,
1999-01,0.029,
1999-02,0.027,
1999-03,0.026,
1999-04,0.030,
1999-05,0.038,
1999-06,0.027,
1999-07,0.024,
1999-08,0.026,
1999-09,0.030,
1999-10,0.050,
1999-11,0.052,
1999-12,0.064,
2000-01,0.054,
2000-02,0.060,
2000-03,0.064,
2000-04,0.064,
2000-05,0.073,
2000-06,0.087,
2000-07,0.090,
2000-08,0.089,
2000-09,0.067,
2000-10,0.035,
2000-11,0.035,
2000-12,0.048,
2001-01,0.038,
2001-02,0.040,
2001-03,0.039,
2001-04,0.030,
2001-05,0.040,
2001-06,0.090,
2001-07,0.040,
2001-08,0.035,
2001-09,0.068,
2001-10,0.061,
2001-11,0.068,
2001-12,0.070,
2002-01,0.028,
2002-02,0.030,
2002-03,0.066,
2002-04,0.064,
2002-05,0.080,
2002-06,0.084,
2002-07,0.070,
2002-08,0.204,
2002-09,0.245,
2002-10,0.251,
2002-11,0.194,
2002-12,0.175,
2003-01,0.108,
2003-02,0.044,
2003-03,0.046,
2003-04,0.044,
2003-05,0.049,
2003-06,0.082,
2003-07,0.135,
2003-08,0.133,
2003-09,0.158,
2003-10,0.151,
2003-11,0.155,
2003-12,0.177,
2004-01,0.119,
2004-02,0.119,
2004-03,0.111,
2004-04,0.113,
2004-05,0.119,
2004-06,0.106,
2004-07,0.110,
2004-08,0.149,
2004-09,0.077,
2004-10,0.082,
2004-11,0.083,
2004-12,0.084,
2005-01,0.101,
2005-02,0.066,
2005-03,0.138,
2005-04,0.145,
2005-05,0.161,
2005-06,0.163,
2005-07,0.207,
2005-08,0.200,
2005-09,0.201,
2005-10,0.108,
2005-11,0.111,
2005-12,0.240,
2006-01,0.309,
2006-02,0.341,
2006-03,0.212,
2006-04,0.136,
2006-05,0.129,
2006-06,0.126,
2006-07,0.119,
2006-08,0.132,
2006-09,0.155,
2006-10,0.146,
2006-11,0.209,
2006-12,0.226,
2007-01,0.213,
2007-02,0.225,
2007-03,0.175,
2007-04,0.171,
2007-05,0.165,
2007-06,0.210,
2007-07,0.168,
2007-08,0.259,
2007-09,0.269,
2007-10,0.288,
2007-11,0.178,
2007-12,0.238,
2008-01,0.197,
2008-02,0.246,
2008-03,0.258,
2008-04,0.258,
2008-05,0.247,
2008-06,0.243,
2008-07,0.230,
2008-08,0.229,
2008-09,0.184,
2008-10,0.162,
2008-11,0.170,
2008-12,0.163,
2009-01,0.147,
2009-02,0.095,
2009-03,0.102,
2009-04,0.095,
2009-05,0.097,
2009-06,0.099,
2009-07,0.105,
2009-08,0.078,
2009-09,0.083,
2009-10,0.091,
2009-11,0.089,
2009-12,0.104,
2010-01,0.095,
2010-02,0.093,
2010-03,0.089,
2010-04,0.098,
2010-05,0.091,
2010-06,0.103,
2010-07,0.115,
2010-08,0.128,
2010-09,0.136,
2010-10,0.125,
2010-11,0.125,
2010-12,0.603,
2011-01,0.631,
2011-02,0.630,
2011-03,0.632,
2011-04,0.629,
2011-05,0.632,
2011-06,0.634,
2011-07,0.642,
2011-08,0.663,
2011-09,0.645,
2011-10,0.647,
2011-11,0.665,
2011-12,0.672,
2012-01,0.681,
2012-02,0.715,
2012-03,0.708,
2012-04,0.729,
2012-05,0.730,
2012-06,0.728,
2012-07,0.685,
2012-08,0.683,
2012-09,0.702,
2012-10,0.684,
2012-11,0.683,
2012-12,0.695,
2013-01,0.679,
2013-02,0.227,
2013-03,0.243,
2013-04,0.242,
2013-05,0.239,
2013-06,0.231,
2013-07,0.225,
2013-08,0.356,
2013-09,0.309,
2013-10,0.254,
2013-11,0.253,
2013-12,0.259,
2014-01,0.271,
2014-02,0.261,
2014-03,0.266,
2014-04,0.270,
2014-05,0.275,
2014-06,0.277,
2014-07,0.279,
2014-08,0.295,
2014-09,0.317,
2014-10,0.325,
2014-11,0.298,
2014-12,0.276,
