"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:00,
1991-01,86.829,
1991-04,215.318,
1991-07,205.931,
1991-10,205.795,
1992-01,249.928,
1992-04,295.484,
1992-07,-269.225,
1992-10,182.380,
1993-01,229.607,
1993-04,98.222,
1993-07,-19.033,
1993-10,722.007,
1994-01,254.983,
1994-04,-53.195,
1994-07,126.335,
1994-10,15.468,
1995-01,502.576,
1995-04,-46.868,
1995-07,78.093,
1995-10,645.251,
1996-01,-381.394,
1996-04,-102.072,
1996-07,122.683,
1996-10,471.818,
1997-01,-346.042,
1997-04,548.931,
1997-07,60.014,
1997-10,425.840,
1998-01,255.063,
1998-04,156.027,
1998-07,124.201,
1998-10,292.458,
1999-01,-174.314,
1999-04,205.949,
1999-07,-86.442,
1999-10,169.415,
2000-01,343.863,
2000-04,-144.336,
2000-07,848.392,
2000-10,292.617,
2001-01,-529.479,
2001-04,968.301,
2001-07,808.857,
2001-10,-163.451,
2002-01,-313.705,
2002-04,655.583,
2002-07,-135.589,
2002-10,149.439,
2003-01,-532.853,
2003-04,527.667,
2003-07,-306.957,
2003-10,366.269,
2004-01,-406.684,
2004-04,425.853,
2004-07,-447.634,
2004-10,44.610,
2005-01,-177.782,
2005-04,84.090,
2005-07,59.165,
2005-10,395.000,
2006-01,-113.714,
2006-04,-223.260,
2006-07,-433.801,
2006-10,-225.800,
2007-01,119.374,
2007-04,1165.360,
2007-07,711.412,
2007-10,182.643,
2008-01,313.537,
2008-04,559.628,
2008-07,25.142,
2008-10,91.182,
2009-01,-768.434,
2009-04,-332.637,
2009-07,683.674,
2009-10,868.708,
2010-01,-72.953,
2010-04,1127.312,
2010-07,64.391,
2010-10,-245.994,
2011-01,197.947,
2011-04,57.247,
2011-07,421.576,
2011-10,205.043,
2012-01,287.963,
2012-04,-734.271,
2012-07,281.226,
2012-10,98.403,
2013-01,27.487,
2013-04,57.776,
2013-07,-41.330,
2013-10,-76.088,
2014-01,-419.889,Provisional value
2014-04,155.140,Provisional value
2014-07,449.503,Provisional value
2014-10,768.020,Provisional value
