"",BBFN1.M.DE.N.1.A.NL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:51,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.010,
1995-01,4.113,
1995-02,3.999,
1995-03,4.274,
1995-04,4.382,
1995-05,4.357,
1995-06,4.339,
1995-07,4.207,
1995-08,4.186,
1995-09,4.302,
1995-10,4.406,
1995-11,4.427,
1995-12,3.889,
1996-01,3.980,
1996-02,4.116,
1996-03,4.216,
1996-04,4.214,
1996-05,4.247,
1996-06,4.307,
1996-07,4.204,
1996-08,4.167,
1996-09,4.349,
1996-10,4.364,
1996-11,4.376,
1996-12,4.428,
1997-01,4.574,
1997-02,4.192,
1997-03,4.317,
1997-04,4.438,
1997-05,4.209,
1997-06,4.283,
1997-07,4.154,
1997-08,4.136,
1997-09,4.336,
1997-10,4.223,
1997-11,4.308,
1997-12,4.319,
1998-01,4.378,
1998-02,4.318,
1998-03,4.355,
1998-04,4.284,
1998-05,4.296,
1998-06,4.343,
1998-07,4.238,
1998-08,4.128,
1998-09,4.469,
1998-10,4.634,
1998-11,4.438,
1998-12,4.288,
1999-01,4.278,
1999-02,4.359,
1999-03,4.647,
1999-04,4.588,
1999-05,4.531,
1999-06,4.901,
1999-07,4.615,
1999-08,4.333,
1999-09,4.598,
1999-10,4.831,
1999-11,4.889,
1999-12,4.734,
2000-01,4.752,
2000-02,5.094,
2000-03,5.257,
2000-04,5.557,
2000-05,5.724,
2000-06,5.973,
2000-07,5.524,
2000-08,5.673,
2000-09,5.977,
2000-10,6.166,
2000-11,6.811,
2000-12,5.657,
2001-01,5.820,
2001-02,6.081,
2001-03,6.069,
2001-04,6.144,
2001-05,6.107,
2001-06,6.099,
2001-07,5.994,
2001-08,5.898,
2001-09,6.015,
2001-10,6.014,
2001-11,5.997,
2001-12,5.893,
2002-01,6.099,
2002-02,6.114,
2002-03,5.750,
2002-04,5.685,
2002-05,5.492,
2002-06,5.873,
2002-07,5.861,
2002-08,5.220,
2002-09,5.401,
2002-10,5.483,
2002-11,5.307,
2002-12,4.845,
2003-01,4.798,
2003-02,4.990,
2003-03,4.990,
2003-04,5.112,
2003-05,4.987,
2003-06,5.222,
2003-07,5.069,
2003-08,5.046,
2003-09,4.797,
2003-10,4.879,
2003-11,5.297,
2003-12,4.980,
2004-01,4.642,
2004-02,4.919,
2004-03,5.278,
2004-04,5.008,
2004-05,5.088,
2004-06,5.221,
2004-07,5.141,
2004-08,5.069,
2004-09,5.324,
2004-10,5.394,
2004-11,5.352,
2004-12,5.429,
2005-01,5.121,
2005-02,4.984,
2005-03,5.395,
2005-04,5.306,
2005-05,5.121,
2005-06,5.234,
2005-07,5.372,
2005-08,5.373,
2005-09,5.649,
2005-10,5.888,
2005-11,5.885,
2005-12,5.822,
2006-01,5.714,
2006-02,6.202,
2006-03,6.443,
2006-04,6.323,
2006-05,5.860,
2006-06,6.208,
2006-07,6.144,
2006-08,6.107,
2006-09,6.509,
2006-10,6.398,
2006-11,6.845,
2006-12,6.718,
2007-01,6.722,
2007-02,7.025,
2007-03,7.288,
2007-04,7.133,
2007-05,6.894,
2007-06,6.854,
2007-07,6.729,
2007-08,6.284,
2007-09,6.825,
2007-10,6.949,
2007-11,7.048,
2007-12,7.229,
2008-01,7.662,
2008-02,8.034,
2008-03,8.468,
2008-04,8.239,
2008-05,8.651,
2008-06,7.985,
2008-07,7.764,
2008-08,7.592,
2008-09,8.351,
2008-10,8.315,
2008-11,7.809,
2008-12,9.114,
2009-01,7.919,
2009-02,6.582,
2009-03,6.585,
2009-04,6.447,
2009-05,6.747,
2009-06,6.911,
2009-07,6.304,
2009-08,6.243,
2009-09,6.484,
2009-10,6.607,
2009-11,7.179,
2009-12,7.560,
2010-01,6.546,
2010-02,6.775,
2010-03,7.710,
2010-04,7.667,
2010-05,7.904,
2010-06,7.785,
2010-07,7.461,
2010-08,7.617,
2010-09,7.487,
2010-10,7.209,
2010-11,7.141,
2010-12,7.656,
2011-01,7.289,
2011-02,7.909,
2011-03,7.890,
2011-04,7.637,
2011-05,8.219,
2011-06,8.091,
2011-07,7.953,
2011-08,7.990,
2011-09,8.186,
2011-10,8.290,
2011-11,8.690,
2011-12,9.073,
2012-01,8.599,
2012-02,8.672,
2012-03,8.955,
2012-04,8.324,
2012-05,8.513,
2012-06,8.936,
2012-07,8.864,
2012-08,8.376,
2012-09,9.059,
2012-10,9.535,
2012-11,9.668,
2012-12,8.552,
2013-01,8.681,
2013-02,8.678,
2013-03,8.631,
2013-04,8.256,
2013-05,7.424,
2013-06,7.374,
2013-07,7.548,
2013-08,7.851,
2013-09,8.224,
2013-10,8.220,
2013-11,8.866,
2013-12,9.210,
2014-01,7.953,
2014-02,7.700,
2014-03,8.424,
2014-04,7.641,
2014-05,7.419,
2014-06,7.672,
2014-07,7.305,
2014-08,7.891,
2014-09,7.788,
2014-10,8.228,
2014-11,8.066,
2014-12,8.288,
